,0
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,153
153,154
154,155
155,156
156,157
157,158
158,159
159,160
160,161
161,162
162,163
163,164
164,165
165,166
166,167
167,168
168,169
169,170
170,171
171,172
172,173
173,174
174,175
175,176
176,177
177,178
178,179
179,180
180,181
181,182
182,183
183,184
184,185
185,186
186,187
187,188
188,189
189,190
190,191
191,192
192,193
193,194
194,195
195,196
196,197
197,198
198,199
199,200
200,201
201,202
202,203
203,204
204,205
205,206
206,207
207,208
208,209
209,210
210,211
211,212
212,213
213,214
214,215
215,216
216,217
217,218
218,219
219,220
220,221
221,222
222,223
223,224
224,225
225,226
226,227
227,228
228,229
229,230
230,231
231,232
232,233
233,234
234,235
235,236
236,237
237,238
238,239
239,240
240,241
241,242
242,243
243,244
244,245
245,246
246,247
247,248
248,249
249,250
250,251
251,252
252,253
253,254
254,255
255,256
256,257
257,258
258,259
259,260
260,261
261,262
262,263
263,264
264,265
265,266
266,267
267,268
268,3217
269,3218
270,3219
271,3220
272,3221
273,3222
274,3223
275,3224
276,3225
277,3226
278,3227
279,3228
280,3229
281,3230
282,3231
283,3232
284,3233
285,3234
286,3235
287,3236
288,3237
289,3238
290,3239
291,3240
292,3241
293,3242
294,3243
295,3244
296,3245
297,3246
298,3247
299,3248
300,3249
301,3250
302,3251
303,3252
304,3253
305,3254
306,3255
307,3256
308,3257
309,3258
310,3259
311,3260
312,3261
313,3262
314,3263
315,3264
316,3265
317,3266
318,3267
319,3268
320,3269
321,3270
322,3271
323,3272
324,3273
325,3274
326,3275
327,3276
328,3277
329,3278
330,3279
331,3280
332,3281
333,3282
334,3283
335,3284
336,3285
337,3286
338,3287
339,3288
340,3289
341,3290
342,3291
343,3292
344,3293
345,3294
346,3295
347,3296
348,3297
349,3298
350,3299
351,3300
352,3301
353,3302
354,3303
355,3304
356,3305
357,3306
358,3307
359,3308
360,3309
361,3310
362,3311
363,3312
364,3313
365,3314
366,3315
367,3316
368,3317
369,3318
370,3319
371,3320
372,3321
373,3322
374,3323
375,3324
376,3325
377,3326
378,3327
379,3328
380,3329
381,3330
382,3331
383,3332
384,3333
385,3334
386,3335
387,3336
388,3337
389,3338
390,3339
391,3340
392,3341
393,3342
394,3343
395,3344
396,3345
397,3346
398,3347
399,3348
400,3349
401,3350
402,3351
403,3352
404,3353
405,3354
406,3355
407,3356
408,3357
409,3358
410,3359
411,3360
412,3361
413,3362
414,3363
415,3364
416,3365
417,3366
418,3367
419,3368
420,3369
421,3370
422,3371
423,3372
424,3373
425,3374
426,3375
427,3376
428,3377
429,3378
430,3379
431,3380
432,3381
433,3382
434,3383
435,3384
436,3385
437,3386
438,3387
439,3388
440,3389
441,3390
442,3391
443,3392
444,3393
445,3394
446,3395
447,3396
448,3397
449,3398
450,3399
451,3400
452,3401
453,3402
454,3403
455,3404
456,3405
457,3406
458,3407
459,3408
460,3409
461,3410
462,3411
463,3412
464,3413
465,3414
466,3415
467,3416
468,3417
469,3418
470,3419
471,3420
472,3421
473,3422
474,3423
475,3424
476,3425
477,3426
478,3427
479,3428
480,3429
481,3430
482,3431
483,3432
484,3433
485,3434
486,3435
487,3436
488,3437
489,3438
490,3439
491,3440
492,3441
493,3442
494,3443
495,3444
496,3445
497,3446
498,3447
499,3448
500,3449
501,3450
502,3451
503,3452
504,3453
505,3454
506,3455
507,3456
508,3457
509,3458
510,3459
511,3460
512,3461
513,3462
514,3463
515,3464
516,3465
517,3466
518,3467
519,3468
520,3469
521,3470
522,3471
523,3472
524,3473
525,3474
526,3475
527,3476
528,3477
529,3478
530,3479
531,3480
532,3481
533,3482
534,3483
535,3484
536,3485
537,3486
538,3487
539,3488
540,3489
541,3490
542,3491
543,3492
544,3493
545,3494
546,3495
547,3496
548,3497
549,3498
550,3499
551,3500
552,3501
553,3502
554,3503
555,3504
556,3505
557,3506
558,3507
559,3508
560,3509
561,3510
562,3511
563,3512
564,3513
565,3514
566,3515
567,3516
568,3517
569,3518
570,3519
571,3520
572,3521
573,3522
574,3523
575,3524
576,3525
577,3526
578,3527
579,3528
580,3529
581,3530
582,3531
583,3532
584,3533
585,3534
586,3535
587,3536
588,3537
589,3538
590,3539
591,3540
592,3541
593,3542
594,3543
595,3544
596,3545
597,3546
598,3547
599,3548
600,3549
601,3550
602,3551
603,604
604,605
605,606
606,607
607,608
608,667
609,668
610,669
611,670
612,671
613,672
614,673
615,674
616,675
617,734
618,735
619,736
620,737
621,738
622,739
623,740
624,741
625,742
626,801
627,802
628,803
629,804
630,805
631,806
632,807
633,808
634,809
635,868
636,869
637,870
638,871
639,872
640,873
641,874
642,875
643,876
644,935
645,936
646,937
647,938
648,939
649,940
650,941
651,942
652,943
653,1002
654,1003
655,1004
656,1005
657,1006
658,1007
659,1008
660,1009
661,1010
662,1069
663,1070
664,1071
665,1072
666,1073
667,1074
668,1075
669,1076
670,1077
671,1136
672,1137
673,1138
674,1139
675,1140
676,1141
677,1142
678,1143
679,1144
680,1203
681,1204
682,1205
683,1206
684,1207
685,1208
686,1209
687,1210
688,1211
689,1270
690,1271
691,1272
692,1273
693,1274
694,1275
695,1276
696,1277
697,1278
698,1337
699,1338
700,1339
701,1340
702,1341
703,1342
704,1343
705,1344
706,1345
707,1404
708,1405
709,1406
710,1407
711,1408
712,1409
713,1410
714,1411
715,1412
716,1471
717,1472
718,1473
719,1474
720,1475
721,1476
722,1477
723,1478
724,1479
725,1538
726,1539
727,1540
728,1541
729,1542
730,1543
731,1544
732,1545
733,1546
734,1605
735,1606
736,1607
737,1608
738,1609
739,1610
740,1611
741,1612
742,1613
743,1672
744,1673
745,1674
746,1675
747,1676
748,1677
749,1678
750,1679
751,1680
752,1739
753,1740
754,1741
755,1742
756,1743
757,1744
758,1745
759,1746
760,1747
761,1806
762,1807
763,1808
764,1809
765,1810
766,1811
767,1812
768,1813
769,1814
770,1873
771,1874
772,1875
773,1876
774,1877
775,1878
776,1879
777,1880
778,1881
779,1940
780,1941
781,1942
782,1943
783,1944
784,1945
785,1946
786,1947
787,1948
788,2007
789,2008
790,2009
791,2010
792,2011
793,2012
794,2013
795,2014
796,2015
797,2074
798,2075
799,2076
800,2077
801,2078
802,2079
803,2080
804,2081
805,2082
806,2141
807,2142
808,2143
809,2144
810,2145
811,2146
812,2147
813,2148
814,2149
815,2208
816,2209
817,2210
818,2211
819,2212
820,2213
821,2214
822,2215
823,2216
824,2275
825,2276
826,2277
827,2278
828,2279
829,2280
830,2281
831,2282
832,2283
833,2342
834,2343
