,0
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,3351
135,3352
136,3353
137,3354
138,3355
139,3356
140,3357
141,3358
142,3359
143,3360
144,3361
145,3362
146,3363
147,3364
148,3365
149,3366
150,3367
151,3368
152,3369
153,3370
154,3371
155,3372
156,3373
157,3374
158,3375
159,3376
160,3377
161,3378
162,3379
163,3380
164,3381
165,3382
166,3383
167,3384
168,3385
169,3386
170,3387
171,3388
172,3389
173,3390
174,3391
175,3392
176,3393
177,3394
178,3395
179,3396
180,3397
181,3398
182,3399
183,3400
184,3401
185,3402
186,3403
187,3404
188,3405
189,3406
190,3407
191,3408
192,3409
193,3410
194,3411
195,3412
196,3413
197,3414
198,3415
199,3416
200,3417
201,3418
202,3419
203,3420
204,3421
205,3422
206,3423
207,3424
208,3425
209,3426
210,3427
211,3428
212,3429
213,3430
214,3431
215,3432
216,3433
217,3434
218,3435
219,3436
220,3437
221,3438
222,3439
223,3440
224,3441
225,3442
226,3443
227,3444
228,3445
229,3446
230,3447
231,3448
232,3449
233,3450
234,3451
235,3452
236,3453
237,3454
238,3455
239,3456
240,3457
241,3458
242,3459
243,3460
244,3461
245,3462
246,3463
247,3464
248,3465
249,3466
250,3467
251,3468
252,3469
253,3470
254,3471
255,3472
256,3473
257,3474
258,3475
259,3476
260,3477
261,3478
262,3479
263,3480
264,3481
265,3482
266,3483
267,3484
268,3485
269,3486
270,3487
271,3488
272,3489
273,3490
274,3491
275,3492
276,3493
277,3494
278,3495
279,3496
280,3497
281,3498
282,3499
283,3500
284,3501
285,3502
286,3503
287,3504
288,3505
289,3506
290,3507
291,3508
292,3509
293,3510
294,3511
295,3512
296,3513
297,3514
298,3515
299,3516
300,3517
301,3518
302,3519
303,3520
304,3521
305,3522
306,3523
307,3524
308,3525
309,3526
310,3527
311,3528
312,3529
313,3530
314,3531
315,3532
316,3533
317,3534
318,3535
319,3536
320,3537
321,3538
322,3539
323,3540
324,3541
325,3542
326,3543
327,3544
328,3545
329,3546
330,3547
331,3548
332,3549
333,3550
334,3551
335,1274
336,1275
337,1276
338,1277
339,1278
340,1337
341,1338
342,1339
343,1340
344,1341
345,1342
346,1343
347,1344
348,1345
349,1404
350,1405
351,1406
352,1407
353,1408
354,1409
355,1410
356,1411
357,1412
358,1471
359,1472
360,1473
361,1474
362,1475
363,1476
364,1477
365,1478
366,1479
367,1538
368,1539
369,1540
370,1541
371,1542
372,1543
373,1544
374,1545
375,1546
376,1605
377,1606
378,1607
379,1608
380,1609
381,1610
382,1611
383,1612
384,1613
385,1672
386,1673
387,1674
388,1675
389,1676
390,1677
391,1678
392,1679
393,1680
394,1739
395,1740
396,1741
397,1742
398,1743
399,1744
400,1745
401,1746
402,1747
403,1806
404,1807
405,1808
406,1809
407,1810
408,1811
409,1812
410,1813
411,1814
412,1873
413,1874
414,1875
415,1876
416,1877
417,1878
418,1879
419,1880
420,1881
421,1940
422,1941
423,1942
424,1943
425,3552
426,3553
427,3554
428,3555
429,3556
430,3557
431,3558
432,3559
433,3560
434,3561
435,3562
436,3563
437,3564
438,3565
439,3566
440,3567
441,3568
442,3569
443,3570
444,3571
445,3572
446,3573
447,3574
448,3575
449,3576
450,3577
451,3578
452,3579
453,3580
454,3581
455,3582
456,3583
457,3584
458,3585
459,3586
460,3587
461,3588
462,3589
463,3590
464,3591
465,3592
466,3593
467,3594
468,3595
469,3596
470,3597
471,3598
472,3599
473,3600
474,3601
475,3602
476,3603
477,3604
478,3605
479,3606
480,3607
481,3608
482,3609
483,3610
484,3611
485,3612
486,3613
487,3614
488,3615
489,3616
490,3617
491,3618
492,3619
493,3620
494,3621
495,3622
496,3623
497,3624
498,3625
499,3626
500,3627
501,3628
502,3629
503,3630
504,3631
505,3632
506,3633
507,3634
508,3635
509,3636
510,3637
511,3638
512,3639
513,3640
514,3641
515,3642
516,3643
517,3644
518,3645
519,3646
520,3647
521,3648
522,3649
523,3650
524,3651
525,3652
526,3653
527,3654
528,3655
529,3656
530,3657
531,3658
532,3659
533,3660
534,3661
535,3662
536,3663
537,3664
538,3665
539,3666
540,3667
541,3668
542,3669
543,3670
544,3671
545,3672
546,3673
547,3674
548,3675
549,3676
550,3677
551,3678
552,3679
553,3680
554,3681
555,3682
556,3683
557,3684
558,3685
559,3686
560,3687
561,3688
562,3689
563,3690
564,3691
565,3692
566,3693
567,3694
568,3695
569,3696
570,3697
571,3698
572,3699
573,3700
574,3701
575,3702
576,3703
577,3704
578,3705
579,3706
580,3707
581,3708
582,3709
583,3710
584,3711
585,3712
586,3713
587,3714
588,3715
589,3716
590,3717
591,3718
592,3719
593,3720
594,3721
595,3722
596,3723
597,3724
598,3725
599,3726
600,3727
601,3728
602,3729
603,3730
604,3731
605,3732
606,3733
607,3734
608,3735
609,3736
610,3737
611,7210
612,7211
613,7212
614,7213
615,7214
616,7215
617,7216
618,7217
619,7218
620,7219
621,7220
622,7221
623,7222
624,7223
625,7224
626,7225
627,7226
628,7227
629,7228
630,7229
631,7230
632,7231
633,7232
634,7233
635,7234
636,7235
637,7236
638,7237
639,7238
640,7239
641,7240
642,7241
643,7242
644,7243
645,7244
646,7245
647,7246
648,7247
649,7248
650,7249
651,7250
652,7251
653,7252
654,7253
655,7254
656,7255
657,7256
658,7257
659,7258
660,7259
661,7260
662,7261
663,7262
664,7263
665,7264
666,7265
667,7266
668,7267
669,7268
670,7269
671,7270
672,7271
673,7272
674,7273
675,7274
676,7275
677,7276
678,7277
679,7278
680,7279
681,7280
682,7281
683,7282
684,7283
685,7284
686,7285
687,7286
688,7287
689,7288
690,7289
691,7290
692,7291
693,7292
694,7293
695,7294
696,7295
697,7296
698,7297
699,7298
700,7299
701,7300
702,7301
703,7302
704,7303
705,7304
706,7305
707,7306
708,7307
709,7308
710,7309
711,7310
712,7311
713,7312
714,7313
715,7314
716,7315
717,7316
718,7317
719,7318
720,7319
721,7320
722,7321
723,7322
724,7323
725,7324
726,7325
727,7326
728,7327
729,7328
730,7329
731,7330
732,7331
733,7332
734,7333
735,7334
736,7335
737,7336
738,7337
739,7338
740,7339
741,7340
742,7341
743,7342
744,7343
745,7344
746,7345
747,7346
748,7347
749,7348
750,7349
751,7350
752,7351
753,7352
754,7353
755,7354
756,7355
757,7356
758,7357
759,7358
760,7359
761,7360
762,7361
763,7362
764,7363
765,7364
766,7365
767,7366
768,7367
769,7368
770,7369
771,7370
772,7371
773,7372
774,7373
775,7374
776,7375
777,7376
778,7377
779,7378
780,7379
781,7380
782,7381
783,7382
784,7383
785,7384
786,7385
787,7386
788,7387
789,7388
790,7389
791,7390
792,7391
793,7392
794,7393
795,7394
796,7395
797,7396
