,0
0,11653
1,11654
2,11655
3,11656
4,11657
5,11658
6,11659
7,11660
8,11661
9,11662
10,11663
11,11664
12,11665
13,11666
14,11667
15,11668
16,11669
17,11670
18,11671
19,11672
20,11673
21,11674
22,11675
23,11676
24,11677
25,11678
26,11679
27,11680
28,11681
29,11682
30,11683
31,11684
32,11685
33,11686
34,11687
35,11688
36,11689
37,11690
38,11691
39,11692
40,11714
41,11715
42,11716
43,11717
44,11718
45,11719
46,11720
47,11721
48,11722
49,11723
50,11724
51,11725
52,11726
53,11727
54,11728
55,11729
56,11730
57,11731
58,11732
59,11733
60,11734
61,11735
62,11736
63,11737
64,11738
65,11739
66,11740
67,11741
68,11742
69,11743
70,11744
71,11745
72,11746
73,11747
74,11748
75,11749
76,11750
77,11751
78,11752
79,11753
80,11775
81,11776
82,11777
83,11778
84,11779
85,11780
86,11781
87,11782
88,11783
89,11784
90,11785
91,11786
92,11787
93,11788
94,11789
95,11790
96,11791
97,11792
98,11793
99,11794
100,11795
101,11796
102,11797
103,11798
104,11799
105,11800
106,11801
107,11802
108,11803
109,11804
110,11805
111,11806
112,11807
113,11808
114,11809
115,11810
116,11811
117,11812
118,11813
119,11814
120,11836
121,11837
122,11838
123,11839
124,11840
125,11841
126,11842
127,11843
128,11844
129,11845
130,11846
131,11847
132,11848
133,11849
134,11850
135,11851
136,11852
137,11853
138,11854
139,11855
140,11856
141,11857
142,11858
143,11859
144,11860
145,11861
146,11862
147,11863
148,11864
149,11865
150,11866
151,11867
152,11868
153,11869
154,11870
155,11871
156,11872
157,11873
158,11874
159,11875
160,11897
161,11898
162,11899
163,11900
164,11901
165,11902
166,11903
167,11904
168,11905
169,11906
170,11907
171,11908
172,11909
173,11910
174,11911
175,11912
176,11913
177,11914
178,11915
179,11916
180,11917
181,11918
182,11919
183,11920
184,11921
185,11922
186,11923
187,11924
188,11925
189,11926
190,11927
191,11928
192,11929
193,11930
194,11931
195,11932
196,11933
197,11934
198,11935
199,11936
200,11958
201,11959
202,11960
203,11961
204,11962
205,11963
206,11964
207,11965
208,11966
209,11967
210,11968
211,11969
212,11970
213,11971
214,11972
215,11973
216,11974
217,11975
218,11976
219,11977
220,11978
221,11979
222,11980
223,11981
224,11982
225,11983
226,11984
227,11985
228,11986
229,11987
230,11988
231,11989
232,11990
233,11991
234,11992
235,11993
236,11994
237,11995
238,11996
239,11997
240,12019
241,12020
242,12021
243,12022
244,12023
245,12024
246,12025
247,12026
248,12027
249,12028
250,12029
251,12030
252,12031
253,12032
254,12033
255,12034
256,12035
257,12036
258,12037
259,12038
260,12039
261,12040
262,12041
263,12042
264,12043
265,12044
266,12045
267,12046
268,12047
269,12048
270,12049
271,12050
272,12051
273,12052
274,12053
275,12054
276,12055
277,12056
278,12057
279,12058
280,12080
281,12081
282,12082
283,12083
284,12084
285,12085
286,12086
287,12087
288,12088
289,12089
290,12090
291,12091
292,12092
293,12093
294,12094
295,12095
296,12096
297,12097
298,12098
299,12099
300,12100
301,12101
302,12102
303,12103
304,12104
305,12105
306,12106
307,12107
308,12108
309,12109
310,12110
311,12111
312,12112
313,12113
314,12114
315,12115
316,12116
317,12117
318,12118
319,12119
320,12141
321,12142
322,12143
323,12144
324,12145
325,12146
326,12147
327,12148
328,12149
329,12150
330,12151
331,12152
332,12153
333,12154
334,12155
335,12156
336,12157
337,12158
338,12159
339,12160
340,12161
341,12162
342,12163
343,12164
344,12165
345,12166
346,12167
347,12168
348,12169
349,12170
350,12171
351,12172
352,12173
353,12174
354,12175
355,12176
356,12177
357,12178
358,12179
359,12180
360,12202
361,12203
362,12204
363,12205
364,12206
365,12207
366,12208
367,12209
368,12210
369,12211
370,12212
371,12213
372,12214
373,12215
374,12216
375,12217
376,12218
377,12219
378,12220
379,12221
380,12222
381,12223
382,12224
383,12225
384,12226
385,12227
386,12228
387,12229
388,12230
389,12231
390,12232
391,12233
392,12234
