,0
0,11653
1,11654
2,11655
3,11656
4,11657
5,11658
6,11659
7,11660
8,11661
9,11662
10,11663
11,11664
12,11665
13,11666
14,11667
15,11668
16,11669
17,11670
18,11671
19,11672
20,11673
21,11674
22,11675
23,11676
24,11677
25,11678
26,11679
27,11680
28,11681
29,11682
30,11714
31,11715
32,11716
33,11717
34,11718
35,11719
36,11720
37,11721
38,11722
39,11723
40,11724
41,11725
42,11726
43,11727
44,11728
45,11729
46,11730
47,11731
48,11732
49,11733
50,11734
51,11735
52,11736
53,11737
54,11738
55,11739
56,11740
57,11741
58,11742
59,11743
60,11775
61,11776
62,11777
63,11778
64,11779
65,11780
66,11781
67,11782
68,11783
69,11784
70,11785
71,11786
72,11787
73,11788
74,11789
75,11790
76,11791
77,11792
78,11793
79,11794
80,11795
81,11796
82,11797
83,11798
84,11799
85,11800
86,11801
87,11802
88,11803
89,11804
90,11836
91,11837
92,11838
93,11839
94,11840
95,11841
96,11842
97,11843
98,11844
99,11845
100,11846
101,11847
102,11848
103,11849
104,11850
105,11851
106,11852
107,11853
108,11854
109,11855
110,11856
111,11857
112,11858
113,11859
114,11860
115,11861
116,11862
117,11863
118,11864
119,11865
120,11897
121,11898
122,11899
123,11900
124,11901
125,11902
126,11903
127,11904
128,11905
129,11906
130,11907
131,11908
132,11909
133,11910
134,11911
135,11912
136,11913
137,11914
138,11915
139,11916
140,11917
141,11918
142,11919
143,11920
144,11921
145,11922
146,11923
147,11924
148,11925
149,11926
150,11958
151,11959
152,11960
153,11961
154,11962
155,11963
156,11964
157,11965
158,11966
159,11967
160,11968
161,11969
162,11970
163,11971
164,11972
165,11973
166,11974
167,11975
168,11976
169,11977
170,11978
171,11979
172,11980
173,11981
174,11982
175,11983
176,11984
177,11985
178,11986
179,11987
180,12019
181,12020
182,12021
183,12022
184,12023
185,12024
186,12025
187,12026
188,12027
189,12028
190,12029
191,12030
192,12031
193,12032
194,12033
195,12034
196,12035
197,12036
198,12037
199,12038
200,12039
201,12040
202,12041
203,12042
204,12043
205,12044
206,12045
207,12046
208,12047
209,12048
210,12080
211,12081
212,12082
213,12083
214,12084
215,12085
216,12086
217,12087
218,12088
219,12089
220,12090
221,12091
222,12092
223,12093
224,12094
225,12095
226,12096
227,12097
228,12098
229,12099
230,12100
231,12101
232,12102
233,12103
234,12104
235,12105
236,12106
237,12107
238,12108
239,12109
240,12141
241,12142
242,12143
243,12144
244,12145
245,12146
246,12147
247,12148
248,12149
249,12150
250,12151
251,12152
252,12153
253,12154
254,12155
255,12156
256,12157
257,12158
258,12159
259,12160
260,12161
261,12162
262,12163
263,12164
264,12165
265,12166
266,12167
267,12168
268,12169
269,12170
270,12202
271,12203
272,12204
273,12205
274,12206
275,12207
276,12208
277,12209
278,12210
279,12211
280,12212
281,12213
282,12214
283,12215
284,12216
285,12217
286,12218
287,12219
288,12220
289,12221
290,12222
291,12223
292,12224
293,12225
294,12226
295,12227
296,12228
297,12229
298,12230
299,12231
300,13529
301,13530
302,13531
303,13532
304,13533
305,13534
306,13535
307,13536
308,13537
309,13538
310,13568
311,13569
312,13570
313,13571
314,13572
315,13573
316,13574
317,13575
318,13576
319,13577
320,13607
321,13608
322,13609
323,13610
324,13611
325,13612
326,13613
327,13614
328,13615
329,13616
330,13646
331,13647
332,13648
333,13649
334,13650
335,13651
336,13652
337,13653
338,13654
339,13655
340,13685
341,13686
342,13687
343,13688
344,13689
345,13690
346,13691
347,13692
348,13693
349,13694
350,13724
351,13725
352,13726
353,13727
354,13728
355,13729
356,13730
357,13731
358,13732
359,13733
360,14312
361,14313
362,14314
363,14315
364,14316
365,14317
366,14318
367,14319
368,14320
369,14321
370,14322
371,14323
372,14351
373,14352
374,14353
375,14354
376,14355
377,14356
378,14357
379,14358
380,14359
381,14360
382,14361
383,14362
384,14390
385,14391
386,14392
387,14393
388,14394
389,14395
390,14396
391,14397
392,14398
