,0
0,19407
1,19408
2,19409
3,19410
4,19411
5,19412
6,19413
7,19414
8,19415
9,19416
10,19417
11,19418
12,19419
13,19420
14,19421
15,19422
16,19423
17,19424
18,19425
19,19426
20,19463
21,19464
22,19465
23,19466
24,19467
25,19468
26,19469
27,19470
28,19471
29,19472
30,19473
31,19474
32,19475
33,19476
34,19477
35,19478
36,19479
37,19480
38,19481
39,19482
40,19519
41,19520
42,19521
43,19522
44,19523
45,19524
46,19525
47,19526
48,19527
49,19528
50,19529
51,19530
52,19531
53,19532
54,19533
55,19534
56,19535
57,19536
58,19537
59,19538
60,19575
61,19576
62,19577
63,19578
64,19579
65,19580
66,19581
67,19582
68,19583
69,19584
70,19585
71,19586
72,19587
73,19588
74,19589
75,19590
76,19591
77,19592
78,19593
79,19594
80,19631
81,19632
82,19633
83,19634
84,19635
85,19636
86,19637
87,19638
88,19639
89,19640
90,19641
91,19642
92,19643
93,19644
94,19645
95,19646
96,19647
97,19648
98,19649
99,19650
100,19687
101,19688
102,19689
103,19690
104,19691
105,19692
106,19693
107,19694
108,19695
109,19696
110,19697
111,19698
112,19699
113,19700
114,19701
115,19702
116,19703
117,19704
118,19705
119,19706
120,19743
121,19744
122,19745
123,19746
124,19747
125,19748
126,19749
127,19750
128,19751
129,19752
130,19753
131,19754
132,19755
133,19756
134,19757
135,19758
136,19759
137,19760
138,19761
139,19762
140,19799
141,19800
142,19801
143,19802
144,19803
145,19804
146,19805
147,19806
148,19807
149,19808
150,19809
151,19810
152,19811
153,19812
154,19813
155,19814
156,19815
157,19816
158,19817
159,19818
160,19855
161,19856
162,19857
163,19858
164,19859
165,19860
166,19861
167,19862
168,19863
169,19864
170,19865
171,19866
172,19867
173,19868
174,19869
175,19870
176,19871
177,19872
178,19873
179,19874
180,19911
181,19912
182,19913
183,19914
184,19915
185,19916
186,19917
187,19918
188,19919
189,19920
190,19921
191,19922
192,19923
193,19924
194,19925
195,19926
196,19927
197,19928
198,19929
199,19930
200,19967
201,19968
202,19969
203,19970
204,19971
205,19972
206,19973
207,19974
208,19975
209,19976
210,19977
211,19978
212,19979
213,19980
214,19981
215,19982
216,19983
217,19984
218,19985
219,19986
220,20023
221,20024
222,20025
223,20026
224,20027
225,20028
226,20029
227,20030
228,20031
229,20032
230,20033
231,20034
232,20035
233,20036
234,20037
235,20038
236,20039
237,20040
238,20041
239,20042
240,20079
241,20080
242,20081
243,20082
244,20083
245,20084
246,20085
247,20086
248,20087
249,20088
250,20089
251,20090
252,20091
253,20092
254,20093
255,20094
256,20095
257,20096
258,20097
259,20098
260,20135
261,20136
262,20137
263,20138
264,20139
265,20140
266,20141
267,20142
268,20143
269,20144
270,20145
271,20146
272,20147
273,20148
274,20149
275,20150
276,20151
277,20152
278,20153
279,20154
280,20191
281,20192
282,20193
283,20194
284,20195
285,20196
286,20197
287,20198
288,20199
289,20200
290,20201
291,20202
292,20203
293,20204
294,20205
295,20206
296,20207
297,20208
298,20209
299,20210
300,20247
301,20248
302,20249
303,20250
304,20251
305,20252
306,20253
307,20254
308,20255
309,20256
310,20257
311,20258
312,20259
313,20260
314,20261
315,20262
316,20263
317,20264
318,20265
319,20266
320,20303
321,20304
322,20305
323,20306
324,20307
325,20308
326,20309
327,20310
328,20311
329,20312
330,20313
331,20314
332,20315
333,20316
334,20317
335,20318
336,20319
337,20320
338,20321
339,20322
340,20359
341,20360
342,20361
343,20362
344,20363
345,20364
346,20365
347,20366
348,20367
349,20368
350,20369
351,20370
352,20371
353,20372
354,20373
355,20374
356,20375
357,20376
358,20377
359,20378
360,20415
361,20416
362,20417
363,20418
364,20419
365,20420
366,20421
367,20422
368,20423
369,20424
370,20425
371,20426
372,20427
373,20428
374,20429
375,20430
376,20431
377,20432
378,20433
379,20434
380,20471
381,20472
382,20473
383,20474
384,20475
385,20476
386,20477
387,20478
388,20479
389,20480
390,20481
391,20482
392,20483
393,20484
394,20485
395,20486
396,20487
397,20488
398,20489
399,20490
400,19957
401,19958
402,19959
403,19960
404,19961
405,19962
406,19963
407,19964
408,19965
409,19966
410,20013
411,20014
412,20015
413,20016
414,20017
415,20018
416,20019
417,20020
418,20021
419,20022
420,20069
421,20070
422,20071
423,20072
424,20073
425,20074
426,20075
427,20076
428,20077
429,20078
430,20125
431,20126
432,20127
433,20128
434,20129
435,20130
436,20131
437,20132
438,20133
439,20134
440,20181
441,20182
442,20183
443,20184
444,20185
445,20186
446,20187
447,20188
448,20189
449,20190
450,20237
451,20238
452,20239
453,20240
454,20241
455,20242
456,20243
457,20244
458,20245
459,20246
460,20293
461,20294
462,20295
463,20296
464,20297
465,20298
466,20299
467,20300
468,20301
469,20302
470,20349
471,20350
472,20351
473,20352
474,20353
475,20354
476,20355
477,20356
478,20357
479,20358
480,20405
481,20406
482,20407
483,20408
484,20409
485,20410
486,20411
487,20412
488,20413
489,20414
490,20461
491,20462
492,20463
493,20464
494,20465
495,20466
496,20467
497,20468
498,20469
499,20470
500,20517
501,20518
502,20519
503,20520
504,20521
505,20522
506,20523
507,20524
508,20525
509,20526
510,20573
511,20574
512,20575
513,20576
514,20577
515,20578
516,20579
517,20580
518,20581
519,20582
520,20629
521,20630
522,20631
523,20632
524,20633
525,20634
526,20635
527,20636
528,20637
529,20638
530,20685
531,20686
532,20687
533,20688
534,20689
535,20690
536,20691
537,20692
538,20693
539,20694
540,20741
541,20742
542,20743
543,20744
544,20745
545,20746
546,20747
547,20748
548,20749
549,20750
550,22369
551,22370
552,22371
553,22372
554,22373
555,22374
556,22375
557,22376
558,22377
559,22378
560,22379
561,22380
562,22381
563,22382
564,22383
565,22384
566,22385
567,22386
568,22387
569,22388
570,22447
571,22448
572,22449
573,22450
574,22451
575,22452
576,22453
577,22454
578,22455
579,22456
580,22457
581,22458
582,22459
583,22460
584,22461
585,22462
586,22463
587,22464
588,22465
589,22466
590,22525
591,22526
592,22527
593,22528
594,22529
595,22530
596,22531
597,22532
598,22533
599,22534
600,22535
601,22536
602,22537
603,22538
604,22539
605,22540
606,22541
607,22542
608,22543
609,22544
610,22603
611,22604
612,22605
613,22606
614,22607
615,22608
616,22609
617,22610
618,22611
619,22612
620,22613
621,22614
622,22615
623,22616
624,22617
625,22618
626,22619
627,22620
628,22621
629,22622
630,22681
631,22682
632,22683
633,22684
634,22685
635,22686
636,22687
637,22688
638,22689
639,22690
640,22691
641,22692
642,22693
643,22694
644,22695
645,22696
646,22697
647,22698
648,22699
649,22700
650,22759
651,22760
652,22761
653,22762
654,22763
655,22764
656,22765
657,22766
658,22767
659,22768
660,22769
661,22770
662,22771
663,22772
664,22773
665,22774
666,22775
667,22776
668,22777
669,22778
670,22837
671,22838
672,22839
673,22840
674,22841
675,22842
676,22843
677,22844
678,22845
679,22846
680,22847
681,22848
682,22849
683,22850
684,22851
685,22852
686,22853
687,22854
688,22855
689,22856
690,22915
691,22916
692,22917
693,22918
694,22919
695,22920
696,22921
697,22922
698,22923
699,22924
700,22925
701,22926
702,22927
703,22928
704,22929
705,22930
706,22931
707,22932
708,22933
709,22934
710,22993
711,22994
712,22995
713,22996
714,22997
715,22998
716,22999
717,23000
718,23001
719,23002
720,23003
721,23004
722,23005
723,23006
724,23007
725,23008
726,23009
727,23010
728,23011
729,23012
730,23071
731,23072
732,23073
733,23074
734,23075
735,23076
736,23077
737,23078
738,23079
739,23080
740,23081
741,23082
742,23083
743,23084
744,23085
745,23086
746,23087
747,23088
748,23089
749,23090
750,23149
751,23150
752,23151
753,23152
754,23153
755,23154
756,23155
757,23156
758,23157
759,23158
760,23159
761,23160
762,23161
763,23162
764,23163
765,23164
766,23165
767,23166
768,23167
769,23168
770,23227
771,23228
772,23229
773,23230
774,23231
775,23232
776,23233
777,23234
778,23235
779,23236
780,23237
781,23238
782,23239
783,23240
784,23241
785,23242
786,23243
787,23244
788,23245
789,23246
790,23305
791,23306
792,23307
793,23308
794,23309
795,23310
796,23311
797,23312
798,23313
799,23314
800,23315
801,23316
802,23317
803,23318
804,23319
805,23320
806,23321
807,23322
808,23323
809,23324
810,23383
811,23384
812,23385
813,23386
814,23387
815,23388
816,23389
817,23390
818,23391
819,23392
820,23393
821,23394
822,23395
823,23396
824,23397
825,23398
826,23399
827,23400
828,23401
829,23402
830,23461
831,23462
832,23463
833,23464
834,23465
835,23466
836,23467
837,23468
838,23469
839,23470
840,23471
841,23472
842,23473
843,23474
844,23475
845,23476
