,0
0,19407
1,19408
2,19409
3,19410
4,19411
5,19412
6,19413
7,19414
8,19415
9,19416
10,19417
11,19418
12,19419
13,19420
14,19421
15,19463
16,19464
17,19465
18,19466
19,19467
20,19468
21,19469
22,19470
23,19471
24,19472
25,19473
26,19474
27,19475
28,19476
29,19477
30,19519
31,19520
32,19521
33,19522
34,19523
35,19524
36,19525
37,19526
38,19527
39,19528
40,19529
41,19530
42,19531
43,19532
44,19533
45,19575
46,19576
47,19577
48,19578
49,19579
50,19580
51,19581
52,19582
53,19583
54,19584
55,19585
56,19586
57,19587
58,19588
59,19589
60,19631
61,19632
62,19633
63,19634
64,19635
65,19636
66,19637
67,19638
68,19639
69,19640
70,19641
71,19642
72,19643
73,19644
74,19645
75,19687
76,19688
77,19689
78,19690
79,19691
80,19692
81,19693
82,19694
83,19695
84,19696
85,19697
86,19698
87,19699
88,19700
89,19701
90,19743
91,19744
92,19745
93,19746
94,19747
95,19748
96,19749
97,19750
98,19751
99,19752
100,19753
101,19754
102,19755
103,19756
104,19757
105,19799
106,19800
107,19801
108,19802
109,19803
110,19804
111,19805
112,19806
113,19807
114,19808
115,19809
116,19810
117,19811
118,19812
119,19813
120,19855
121,19856
122,19857
123,19858
124,19859
125,19860
126,19861
127,19862
128,19863
129,19864
130,19865
131,19866
132,19867
133,19868
134,19869
135,19911
136,19912
137,19913
138,19914
139,19915
140,19916
141,19917
142,19918
143,19919
144,19920
145,19921
146,19922
147,19923
148,19924
149,19925
150,19967
151,19968
152,19969
153,19970
154,19971
155,19972
156,19973
157,19974
158,19975
159,19976
160,19977
161,19978
162,19979
163,19980
164,19981
165,20023
166,20024
167,20025
168,20026
169,20027
170,20028
171,20029
172,20030
173,20031
174,20032
175,20033
176,20034
177,20035
178,20036
179,20037
180,20079
181,20080
182,20081
183,20082
184,20083
185,20084
186,20085
187,20086
188,20087
189,20088
190,20089
191,20090
192,20091
193,20092
194,20093
195,20295
196,20296
197,20297
198,20298
199,20299
200,20300
201,20301
202,20302
203,20351
204,20352
205,20353
206,20354
207,20355
208,20356
209,20357
210,20358
211,20407
212,20408
213,20409
214,20410
215,20411
216,20412
217,20413
218,20414
219,20463
220,20464
221,20465
222,20466
223,20467
224,20468
225,20469
226,20470
227,20519
228,20520
229,20521
230,20522
231,20523
232,20524
233,20525
234,20526
235,20575
236,20576
237,20577
238,20578
239,20579
240,20580
241,20581
242,20582
243,20631
244,20632
245,20633
246,20634
247,20635
248,20636
249,20637
250,20638
251,20687
252,20688
253,20689
254,20690
255,20691
256,20692
257,20693
258,20694
259,20743
260,20744
261,20745
262,20746
263,20747
264,20748
265,20749
266,20750
267,22374
268,22375
269,22376
270,22377
271,22378
272,22379
273,22380
274,22381
275,22382
276,22383
277,22384
278,22385
279,22386
280,22387
281,22388
282,22452
283,22453
284,22454
285,22455
286,22456
287,22457
288,22458
289,22459
290,22460
291,22461
292,22462
293,22463
294,22464
295,22465
296,22466
297,22530
298,22531
299,22532
300,22533
301,22534
302,22535
303,22536
304,22537
305,22538
306,22539
307,22540
308,22541
309,22542
310,22543
311,22544
312,22608
313,22609
314,22610
315,22611
316,22612
317,22613
318,22614
319,22615
320,22616
321,22617
322,22618
323,22619
324,22620
325,22621
326,22622
327,22686
328,22687
329,22688
330,22689
331,22690
332,22691
333,22692
334,22693
335,22694
336,22695
337,22696
338,22697
339,22698
340,22699
341,22700
342,22764
343,22765
344,22766
345,22767
346,22768
347,22769
348,22770
349,22771
350,22772
351,22773
352,22774
353,22775
354,22776
355,22777
356,22778
357,22842
358,22843
359,22844
360,22845
361,22846
362,22847
363,22848
364,22849
365,22850
366,22851
367,22852
368,22853
369,22854
370,22855
371,22856
372,22920
373,22921
374,22922
375,22923
376,22924
377,22925
378,22926
379,22927
380,22928
381,22929
382,22930
383,22931
384,22932
385,22933
386,22934
387,22998
388,22999
389,23000
390,23001
391,23002
392,23003
393,23004
394,23005
395,23006
396,23007
397,23008
398,23009
399,23010
400,23011
401,23012
402,23076
403,23077
404,23078
405,23079
406,23080
407,23081
408,23082
409,23083
410,23084
411,23085
412,23086
413,23087
414,23088
415,23089
416,23090
417,23154
418,23155
419,23156
420,23157
421,23158
422,23159
423,23160
424,23161
425,23162
426,23163
427,23164
428,23165
429,23166
430,23167
431,23168
432,23232
433,23233
434,23234
435,23235
436,23236
437,23237
438,23238
439,23239
440,23240
441,23241
442,23242
443,23243
444,23244
445,23245
446,23246
447,23310
448,23311
449,23312
450,23313
451,23314
452,23315
453,23316
454,23317
455,23318
456,23319
457,23320
458,23321
459,23322
460,23323
461,23324
462,23600
463,23601
464,23602
465,23603
466,23604
467,23605
468,23606
469,23607
470,23608
471,23609
472,23610
473,23611
474,23678
475,23679
476,23680
477,23681
478,23682
479,23683
480,23684
481,23685
482,23686
483,23687
484,23688
485,23689
486,23756
487,23757
488,23758
489,23759
490,23760
491,23761
492,23762
493,23763
494,23764
495,23765
496,23766
497,23767
498,23834
499,23835
500,23836
501,23837
502,23838
503,23839
504,23840
505,23841
506,23842
507,23843
508,23844
509,23845
510,23912
511,23913
512,23914
513,23915
514,23916
515,23917
516,23918
517,23919
518,23920
519,23921
520,23922
521,23923
522,23990
523,23991
524,23992
525,23993
526,23994
527,23995
528,23996
529,23997
530,23998
531,23999
532,24000
533,24001
534,24068
535,24069
536,24070
537,24071
538,24072
539,24073
540,24074
541,24075
542,24076
543,24077
544,24078
545,24079
546,24146
547,24147
548,24148
549,24149
550,24150
551,24151
552,24152
553,24153
554,24154
555,24155
556,24156
557,24157
558,24224
559,24225
560,24226
561,24227
562,24228
563,24229
564,24230
565,24231
566,24232
567,24233
568,24234
569,24235
570,24302
571,24303
572,24304
573,24305
574,24306
575,24307
576,24308
577,24309
578,24310
579,24311
580,24312
581,24313
582,24380
583,24381
584,24382
585,24383
586,24384
587,24385
588,24386
589,24387
590,24388
591,24389
592,24390
593,24391
594,24458
595,24459
596,24460
597,24461
598,24462
599,24463
600,24464
601,24465
602,24466
603,24467
604,24468
605,24469
606,24536
607,24537
608,24538
609,24539
610,24540
611,24541
612,24542
613,24543
614,24544
615,24545
616,24546
617,24547
618,24614
619,24615
620,24616
621,24617
622,24618
623,24619
624,24620
625,24621
626,24622
627,24623
628,24624
629,24625
630,26314
631,26315
632,26316
633,26317
634,26318
635,26319
636,26320
637,26321
638,26322
639,26323
640,26324
641,26325
642,26326
643,26327
644,26328
645,26364
646,26365
647,26366
648,26367
649,26368
650,26369
651,26370
652,26371
653,26372
654,26373
655,26374
656,26375
657,26376
658,26377
659,26378
660,26414
661,26415
662,26416
663,26417
664,26418
665,26419
666,26420
667,26421
668,26422
669,26423
670,26424
671,26425
672,26426
673,26427
674,26428
675,26464
676,26465
677,26466
678,26467
679,26468
680,26469
681,26470
682,26471
683,26472
684,26473
685,26474
686,26475
687,26476
688,26477
689,26478
690,26514
691,26515
692,26516
693,26517
694,26518
695,26519
696,26520
697,26521
698,26522
699,26523
700,26524
701,26525
702,26526
703,26527
704,26528
705,26564
706,26565
707,26566
708,26567
709,26568
710,26569
711,26570
712,26571
713,26572
714,26573
715,26574
716,26575
717,26576
718,26577
719,26578
720,26614
721,26615
722,26616
723,26617
724,26618
725,26619
726,26620
727,26621
728,26622
729,26623
730,26624
731,26625
732,26626
733,26627
734,26628
735,26664
736,26665
737,26666
738,26667
739,26668
740,26669
741,26670
742,26671
743,26672
744,26673
745,26674
746,26675
747,26676
748,26677
749,26678
750,26714
751,26715
752,26716
753,26717
754,26718
755,26719
756,26720
757,26721
758,26722
759,26723
760,26724
761,26725
762,26726
763,26727
764,26728
765,26764
766,26765
767,26766
768,26767
769,26768
770,26769
771,26770
772,26771
773,26772
774,26773
775,26774
776,26775
777,26776
778,26777
779,26778
780,26814
781,26815
782,26816
783,26817
784,26818
785,26819
786,26820
787,26821
788,26822
789,26823
790,26824
791,26825
792,26826
793,26827
794,26828
795,27101
796,27102
797,27103
798,27104
799,27105
800,27106
801,27107
802,27108
803,27151
804,27152
805,27153
806,27154
807,27155
808,27156
809,27157
810,27158
811,27201
812,27202
813,27203
814,27204
815,27205
816,27206
817,27207
818,27208
819,27251
820,27252
821,27253
822,27254
823,27255
824,27256
825,27257
826,27258
