,0
0,621
1,622
2,623
3,624
4,625
5,626
6,627
7,628
8,629
9,630
10,631
11,632
12,633
13,634
14,635
15,636
16,637
17,638
18,639
19,640
20,641
21,642
22,643
23,644
24,645
25,646
26,647
27,648
28,649
29,650
30,651
31,652
32,688
33,689
34,690
35,691
36,692
37,693
38,694
39,695
40,696
41,697
42,698
43,699
44,700
45,701
46,702
47,703
48,704
49,705
50,706
51,707
52,708
53,709
54,710
55,711
56,712
57,713
58,714
59,715
60,716
61,717
62,718
63,719
64,755
65,756
66,757
67,758
68,759
69,760
70,761
71,762
72,763
73,764
74,765
75,766
76,767
77,768
78,769
79,770
80,771
81,772
82,773
83,774
84,775
85,776
86,777
87,778
88,779
89,780
90,781
91,782
92,783
93,784
94,785
95,786
96,822
97,823
98,824
99,825
100,826
101,827
102,828
103,829
104,830
105,831
106,832
107,833
108,834
109,835
110,836
111,837
112,838
113,839
114,840
115,841
116,842
117,843
118,844
119,845
120,846
121,847
122,848
123,849
124,850
125,851
126,852
127,853
128,889
129,890
130,891
131,892
132,893
133,894
134,895
135,896
136,897
137,898
138,899
139,900
140,901
141,902
142,903
143,904
144,905
145,906
146,907
147,908
148,909
149,910
150,911
151,912
152,913
153,914
154,915
155,916
156,917
157,918
158,919
159,920
160,956
161,957
162,958
163,959
164,960
165,961
166,962
167,963
168,964
169,965
170,966
171,967
172,968
173,969
174,970
175,971
176,972
177,973
178,974
179,975
180,976
181,977
182,978
183,979
184,980
185,981
186,982
187,983
188,984
189,985
190,986
191,987
192,1023
193,1024
194,1025
195,1026
196,1027
197,1028
198,1029
199,1030
200,1031
201,1032
202,1033
203,1034
204,1035
205,1036
206,1037
207,1038
208,1039
209,1040
210,1041
211,1042
212,1043
213,1044
214,1045
215,1046
216,1047
217,1048
218,1049
219,1050
220,1051
221,1052
222,1053
223,1054
224,1090
225,1091
226,1092
227,1093
228,1094
229,1095
230,1096
231,1097
232,1098
233,1099
234,1100
235,1101
236,1102
237,1103
238,1104
239,1105
240,1106
241,1107
242,1108
243,1109
244,1110
245,1111
246,1112
247,1113
248,1114
249,1115
250,1116
251,1117
252,1118
253,1119
254,1120
255,1121
256,1157
257,1158
258,1159
259,1160
260,1161
261,1162
262,1163
263,1164
264,1165
265,1166
266,1167
267,1168
268,1169
269,1170
270,1171
271,1172
272,1173
273,1174
274,1175
275,1176
276,1177
277,1178
278,1179
279,1180
280,1181
281,1182
282,1183
283,1184
284,1185
285,1186
286,1187
287,1188
288,1224
289,1225
290,1226
291,1227
292,1228
293,1229
294,1230
295,1231
296,1232
297,1233
298,1234
299,1235
300,1236
301,1237
302,1238
303,1239
304,1240
305,1241
306,1242
307,1243
308,1244
309,1245
310,1246
311,1247
312,1248
313,1249
314,1250
315,1251
316,1252
317,1253
318,1254
319,1255
320,1291
321,1292
322,1293
323,1294
324,1295
325,1296
326,1297
327,1298
328,1299
329,1300
330,1301
331,1302
332,1303
333,1304
334,1305
335,1306
336,1307
337,1308
