,0
0,621
1,622
2,623
3,624
4,625
5,626
6,627
7,628
8,629
9,630
10,631
11,632
12,633
13,634
14,635
15,636
16,637
17,638
18,639
19,640
20,641
21,642
22,688
23,689
24,690
25,691
26,692
27,693
28,694
29,695
30,696
31,697
32,698
33,699
34,700
35,701
36,702
37,703
38,704
39,705
40,706
41,707
42,708
43,709
44,755
45,756
46,757
47,758
48,759
49,760
50,761
51,762
52,763
53,764
54,765
55,766
56,767
57,768
58,769
59,770
60,771
61,772
62,773
63,774
64,775
65,776
66,822
67,823
68,824
69,825
70,826
71,827
72,828
73,829
74,830
75,831
76,832
77,833
78,834
79,835
80,836
81,837
82,838
83,839
84,840
85,841
86,842
87,843
88,889
89,890
90,891
91,892
92,893
93,894
94,895
95,896
96,897
97,898
98,899
99,900
100,901
101,902
102,903
103,904
104,905
105,906
106,907
107,908
108,909
109,910
110,956
111,957
112,958
113,959
114,960
115,961
116,962
117,963
118,964
119,965
120,966
121,967
122,968
123,969
124,970
125,971
126,972
127,973
128,974
129,975
130,976
131,977
132,1023
133,1024
134,1025
135,1026
136,1027
137,1028
138,1029
139,1030
140,1031
141,1032
142,1033
143,1034
144,1035
145,1036
146,1037
147,1038
148,1039
149,1040
150,1041
151,1042
152,1043
153,1044
154,1090
155,1091
156,1092
157,1093
158,1094
159,1095
160,1096
161,1097
162,1098
163,1099
164,1100
165,1101
166,1102
167,1103
168,1104
169,1105
170,1106
171,1107
172,1108
173,1109
174,1110
175,1111
176,1157
177,1158
178,1159
179,1160
180,1161
181,1162
182,1163
183,1164
184,1165
185,1166
186,1167
187,1168
188,1169
189,1170
190,1171
191,1172
192,1173
193,1174
194,1175
195,1176
196,1177
197,1178
198,1224
199,1225
200,1226
201,1227
202,1228
203,1229
204,1230
205,1231
206,1232
207,1233
208,1234
209,1235
210,1236
211,1237
212,1238
213,1239
214,1240
215,1241
216,1242
217,1243
218,1244
219,1245
220,1291
221,1292
222,1293
223,1294
224,1295
225,1296
226,1297
227,1298
228,1299
229,1300
230,1301
231,1302
232,1303
233,1304
234,1305
235,1306
236,1307
237,1308
238,1309
239,1310
240,1311
241,1312
242,1358
243,1359
244,1360
245,1361
246,1362
247,1363
248,1364
249,1365
250,1366
251,1367
252,1368
253,1369
254,1370
255,1371
256,1372
257,1373
258,1374
259,1375
260,1376
261,1377
262,1378
263,1379
264,1425
265,1426
266,1427
267,1428
268,1429
269,1430
270,1431
271,1432
272,1433
273,1434
274,1435
275,1436
276,1437
277,1438
278,1439
279,1440
280,1441
281,1442
282,1443
283,1444
284,1445
285,1446
286,1492
287,1493
288,1494
289,1495
290,1496
291,1497
292,1498
293,1499
294,1500
295,1501
296,1502
297,1503
298,1504
299,1505
300,1506
301,1507
302,1508
303,1509
304,1510
305,1511
306,1512
307,1513
308,1559
309,1560
310,1561
311,1562
312,1563
313,1564
314,1565
315,1566
316,1567
317,1568
318,1569
319,1570
320,1571
321,1572
322,1573
323,1574
324,1575
325,1576
