,0
0,1
1,2
2,3
3,4
4,5
5,6
6,20
7,21
8,22
9,23
10,24
11,25
12,26
13,27
14,28
15,29
16,30
17,31
18,32
19,33
20,34
21,35
22,36
23,37
24,38
25,39
26,40
27,41
28,42
29,43
30,44
31,45
32,46
33,47
34,48
35,49
36,64
37,65
38,66
39,67
40,68
41,69
42,70
43,71
44,72
45,73
46,87
47,88
48,89
49,90
50,91
51,92
52,93
53,94
54,95
55,96
56,97
57,98
58,99
59,100
60,101
61,102
62,103
63,104
64,105
65,106
66,107
67,108
68,109
69,110
70,111
71,112
72,113
73,114
74,115
75,116
76,131
77,132
78,133
79,134
80,135
81,136
82,137
83,138
84,139
85,140
86,154
87,155
88,156
89,157
90,158
91,159
92,160
93,161
94,162
95,163
96,164
97,165
98,166
99,167
100,168
101,169
102,170
103,171
104,172
105,173
106,174
107,175
108,176
109,177
110,178
111,179
112,180
113,181
114,182
115,183
116,198
117,199
118,200
119,201
120,202
121,203
122,204
123,205
124,206
125,207
126,265
127,266
128,267
129,268
130,269
131,270
132,271
133,272
134,273
135,274
136,332
137,333
138,334
139,335
140,336
141,337
142,338
143,339
144,340
145,341
146,399
147,400
148,401
149,402
150,403
151,404
152,405
153,406
154,407
155,408
156,466
157,467
158,468
159,469
160,470
161,471
162,472
163,473
164,474
165,475
166,533
167,534
168,535
169,536
170,537
171,538
172,539
173,540
174,541
175,542
176,600
177,601
178,602
179,603
180,604
181,605
182,606
183,607
184,608
185,609
186,667
187,668
188,669
189,670
190,671
191,672
192,673
193,674
194,675
195,676
196,734
197,735
198,736
199,737
200,738
201,739
202,740
203,741
204,742
205,743
206,801
207,802
208,803
209,804
210,805
211,806
212,807
213,808
214,809
215,810
216,868
217,869
218,870
219,871
220,872
221,873
222,874
223,875
224,876
225,877
226,935
227,936
228,937
229,938
230,939
231,940
232,941
233,942
234,943
235,944
236,1002
237,1003
238,1004
239,1005
240,1006
241,1007
242,1008
243,1009
244,1010
245,1011
246,1069
247,1070
248,1071
249,1072
250,1073
251,1074
252,1075
253,1076
254,1077
255,1078
256,1136
257,1137
258,1138
259,1139
260,1140
261,1141
262,1142
263,1143
264,1144
265,1145
266,1203
267,1204
268,1205
269,1206
270,1207
271,1208
272,1209
273,1210
274,1211
275,1212
276,1270
277,1271
278,1272
279,1273
280,1274
281,1275
282,1276
283,1277
284,1278
285,1279
286,1337
287,1338
288,1339
289,1340
290,1341
291,1342
292,1343
293,1344
294,1345
295,1346
296,1404
297,1405
298,1406
299,1407
300,1408
301,1409
302,1410
303,1411
304,1412
305,1413
306,1471
307,1472
308,1473
309,1474
310,1475
311,1476
312,1477
313,1478
314,1479
315,1480
316,1538
317,1539
318,1540
319,1541
320,1542
321,1543
322,1544
323,1545
324,1546
325,1547
326,1605
327,1606
328,1607
329,1608
330,1609
331,1610
332,1611
333,1612
334,1613
335,1614
336,1672
337,1673
338,1674
339,1675
340,1676
341,1677
342,1678
343,1679
344,1680
345,1681
346,1739
347,1740
348,1741
349,1742
350,1743
351,1744
352,1745
353,1746
354,1747
355,1748
356,1806
357,1807
358,1808
359,1809
360,1810
361,1811
362,1812
363,1813
364,1814
365,1815
366,1873
367,1874
368,1875
369,1876
370,1877
371,1878
372,1879
373,1880
374,1881
375,1882
376,1940
377,1941
378,1942
379,1943
380,1944
381,1945
382,1946
383,1947
384,1948
385,1949
386,2007
387,2008
388,2009
389,2010
390,2011
391,2012
392,2013
393,2014
394,2015
395,2016
396,2074
397,2075
398,2076
399,2077
400,2078
401,2079
402,2080
403,2081
404,2082
405,2083
406,2141
407,2142
408,2143
409,2144
410,2145
411,2146
412,2147
413,2148
414,2149
415,2150
416,2208
417,2209
418,2210
419,2211
420,2212
421,2213
422,2214
423,2215
424,2216
425,2217
426,2275
427,2276
428,2277
429,2278
430,2279
431,2280
432,2281
433,2282
434,2283
435,2284
436,2342
437,2343
438,2344
439,2345
440,2346
441,2347
442,2348
443,2349
444,2350
445,2351
446,2409
447,2410
448,2411
449,2412
450,2413
451,2414
452,2415
453,2416
454,2417
455,2418
456,2476
457,2477
458,2478
459,2479
460,2480
461,2481
462,2482
463,2483
464,2484
465,2485
466,2543
467,2544
468,2545
469,2546
470,2547
471,2548
472,2549
473,2550
474,2551
475,2552
476,2610
477,2611
478,2612
479,2613
480,2614
481,2615
482,2616
483,2617
484,2618
485,2619
486,2677
487,2678
488,2679
489,2680
490,2681
491,2682
492,2683
493,2684
494,2685
495,2686
496,2744
497,2745
498,2746
499,2747
500,2748
501,2749
502,2750
503,2751
504,2752
505,2753
506,2811
507,2812
508,2813
509,2814
510,2815
511,2816
512,2817
513,2818
514,2819
515,2820
516,2878
517,2879
518,2880
519,2881
520,2882
521,2883
522,2884
523,2885
524,2886
525,2887
526,2945
527,2946
528,2947
529,2948
530,2949
531,2950
532,2951
533,2952
534,2953
535,2954
536,3012
537,3013
538,3014
539,3015
540,3016
541,3017
542,3018
543,3019
544,3020
545,3021
546,3079
547,3080
548,3081
549,3082
550,3083
551,3084
552,3085
553,3086
554,3087
555,3088
556,3146
557,3147
558,3148
559,3149
560,3150
561,3151
562,3152
563,3153
564,3154
565,3155
566,3213
567,3214
568,3215
569,3216
570,3217
571,3218
572,3219
573,3220
574,3221
575,3222
576,3280
577,3281
578,3282
579,3283
580,3284
581,3285
582,3286
583,3287
584,3288
585,3289
586,3303
587,3304
588,3305
589,3306
590,3307
591,3308
592,3309
593,3310
594,3311
595,3312
596,3313
597,3314
598,3315
599,3316
600,3317
601,3318
602,3319
603,3320
604,3321
605,3322
606,3323
607,3324
608,3325
609,3326
610,3327
611,3328
612,3329
613,3330
614,3331
615,3332
616,3347
617,3348
618,3349
619,3350
620,3351
621,3352
622,3353
623,3354
624,3355
625,3356
626,3370
627,3371
628,3372
629,3373
630,3374
631,3375
632,3376
633,3377
634,3378
635,3379
636,3380
637,3381
638,3382
639,3383
640,3384
641,3385
642,3386
643,3387
644,3388
645,3389
646,3390
647,3391
648,3392
649,3393
650,3394
651,3395
652,3396
653,3397
654,3398
655,3399
656,3414
657,3415
658,3416
659,3417
660,3418
661,3419
662,3420
663,3421
664,3422
665,3423
666,3437
667,3438
668,3439
669,3440
670,3441
671,3442
672,3443
673,3444
674,3445
675,3446
676,3447
677,3448
678,3449
679,3450
680,3451
681,3452
682,3453
683,3454
684,3455
685,3456
686,3457
687,3458
688,3459
689,3460
690,3461
691,3462
692,3463
693,3464
694,3465
695,3466
696,3481
697,3482
698,3483
699,3484
700,3485
701,3486
702,3487
703,3488
704,3489
705,3490
706,3504
707,3505
708,3506
709,3507
710,3508
711,3509
712,3510
713,3511
714,3512
715,3513
716,3514
717,3515
718,3516
719,3517
720,3518
721,3519
722,3520
723,3521
724,3522
725,3523
726,3524
727,3525
728,3526
729,3527
730,3528
731,3529
732,3530
733,3531
734,3532
735,3533
736,3548
737,3549
738,3550
739,3551
740,3552
741,3553
742,3566
743,3567
744,3568
745,3569
746,3570
747,3571
748,3572
749,3573
750,3574
751,3575
752,3576
753,3577
754,3578
755,3579
756,3580
757,3581
758,3582
759,3583
760,3584
761,3585
762,3586
763,3587
764,3588
765,3589
766,3590
767,3591
768,3592
769,3593
770,3594
771,3595
772,3611
773,3612
774,3613
775,3614
776,3627
777,3628
778,3629
779,3630
780,3631
781,3632
782,3633
783,3634
784,3635
785,3636
786,3637
787,3638
788,3639
789,3640
790,3641
791,3642
792,3643
793,3644
794,3645
795,3646
796,3647
797,3648
798,3649
799,3650
800,3651
801,3652
802,3653
803,3654
804,3655
805,3656
806,3672
807,3673
808,3674
809,3675
810,3688
811,3689
812,3690
813,3691
814,3692
815,3693
816,3694
817,3695
