,0
0,4115
1,4116
2,4117
3,4118
4,4119
5,4120
6,4121
7,4122
8,4123
9,4124
10,4125
11,4126
12,4127
13,4128
14,4129
15,4130
16,4131
17,4132
18,4133
19,4134
20,4135
21,4136
22,4137
23,4138
24,4139
25,4140
26,4141
27,4142
28,4143
29,4144
30,4176
31,4177
32,4178
33,4179
34,4180
35,4181
36,4182
37,4183
38,4184
39,4185
40,4186
41,4187
42,4188
43,4189
44,4190
45,4191
46,4192
47,4193
48,4194
49,4195
50,4196
51,4197
52,4198
53,4199
54,4200
55,4201
56,4202
57,4203
58,4204
59,4205
60,4237
61,4238
62,4239
63,4240
64,4241
65,4242
66,4243
67,4244
68,4245
69,4246
70,4247
71,4248
72,4249
73,4250
74,4251
75,4252
76,4253
77,4254
78,4255
79,4256
80,4257
81,4258
82,4259
83,4260
84,4261
85,4262
86,4263
87,4264
88,4265
89,4266
90,4298
91,4299
92,4300
93,4301
94,4302
95,4303
96,4304
97,4305
98,4306
99,4307
100,4308
101,4309
102,4310
103,4311
104,4312
105,4313
106,4314
107,4315
108,4316
109,4317
110,4318
111,4319
112,4320
113,4321
114,4322
115,4323
116,4324
117,4325
118,4326
119,4327
120,4359
121,4360
122,4361
123,4362
124,4363
125,4364
126,4365
127,4366
128,4367
129,4368
130,4369
131,4370
132,4371
133,4372
134,4373
135,4374
136,4375
137,4376
138,4377
139,4378
140,4379
141,4380
142,4381
143,4382
144,4383
145,4384
146,4385
147,4386
148,4387
149,4388
150,4420
151,4421
152,4422
153,4423
154,4424
155,4425
156,4426
157,4427
158,4428
159,4429
160,4430
161,4431
162,4432
163,4433
164,4434
165,4435
166,4436
167,4437
168,4438
169,4439
170,4440
171,4441
172,4442
173,4443
174,4444
175,4445
176,4446
177,4447
178,4448
179,4449
180,4481
181,4482
182,4483
183,4484
184,4485
185,4486
186,4487
187,4488
188,4489
189,4490
190,4491
191,4492
192,4493
193,4494
194,4495
195,4496
196,4497
197,4498
198,4499
199,4500
200,4501
201,4502
202,4503
203,4504
204,4505
205,4506
206,4507
207,4508
208,4509
209,4510
210,4542
211,4543
212,4544
213,4545
214,4546
215,4547
216,4548
217,4549
218,4550
219,4551
220,4552
221,4553
222,4554
223,4555
224,4556
225,4557
226,4558
227,4559
228,4560
229,4561
230,4562
231,4563
232,4564
233,4565
234,4566
235,4567
236,4568
237,4569
238,4570
239,4571
240,4603
241,4604
242,4605
243,4606
244,4607
245,4608
246,4609
247,4610
248,4611
249,4612
250,4613
251,4614
252,4615
253,4616
254,4617
255,4618
256,4619
257,4620
258,4621
259,4622
260,4623
261,4624
262,4625
263,4626
264,4627
265,4628
266,4629
267,4630
268,4631
269,4632
270,4664
271,4665
272,4666
273,4667
274,4668
275,4669
276,4670
277,4671
278,4672
279,4673
280,4674
281,4675
282,4676
283,4677
284,4678
285,4679
286,4680
287,4681
288,4682
289,4683
290,4684
291,4685
292,4686
293,4687
294,4688
295,4689
296,4690
297,4691
298,4692
299,4693
300,4725
301,4726
302,4727
303,4728
304,4729
305,4730
306,4731
307,4732
308,4733
309,4734
310,4735
311,4736
312,4737
313,4738
314,4739
315,4740
316,4741
317,4742
318,4743
319,4744
320,4745
321,4746
322,4747
323,4748
324,4749
325,4750
326,4751
327,4752
328,4753
329,4754
330,4786
331,4787
332,4788
333,4789
334,4790
335,4791
336,4792
337,4793
338,4794
339,4795
340,4796
341,4797
342,4798
343,4799
344,4800
345,4801
346,4802
347,4803
348,4804
349,4805
350,4806
351,4807
352,4808
353,4809
354,4810
355,4811
356,4812
357,4813
358,4814
359,4815
360,4847
361,4848
362,4849
363,4850
364,4851
365,4852
366,4853
367,4854
368,4855
369,4856
370,4857
371,4858
372,4859
373,4860
374,4861
375,4862
376,4863
377,4864
378,4865
379,4866
380,4867
381,4868
382,4869
383,4870
384,4871
385,4872
386,4873
387,4874
388,4875
389,4876
390,4908
391,4909
392,4910
393,4911
394,4912
395,4913
396,4914
397,4915
398,4916
399,4917
400,4918
401,4919
402,4920
403,4921
404,4922
405,4923
406,4924
407,4925
408,4926
409,4927
410,4928
411,4929
412,4930
413,4931
414,4932
415,4933
416,4934
417,4935
418,4936
419,4937
420,4969
421,4970
422,4971
423,4972
424,4973
425,4974
426,4975
427,4976
428,4977
429,4978
430,4979
431,4980
432,4981
433,4982
434,4983
435,4984
436,4985
437,4986
438,4987
439,4988
440,4989
441,4990
442,4991
443,4992
444,4993
445,4994
446,4995
447,4996
448,4997
449,4998
