Data,Model,Entropy,d,M,ARI,Series Time,Parallel Time
1,cPGMM,0,d = 10,10,0.214384348,10.02429853,1.456841612
1,cPGMM,1,d = 10,10,0.145773374,10.00751875,1.440061835
1,ccPGMM,0,d = 10,10,0.374925097,3.22885646,0.559844518
1,ccPGMM,1,d = 10,10,0.314834521,3.231464179,0.562452237
1,cPGMM,0,d = 10,25,0.192121581,28.43162505,3.083065367
1,cPGMM,1,d = 10,25,0.219035008,28.44632876,3.097769082
1,ccPGMM,0,d = 10,25,0.382679391,12.55026868,1.564916468
1,ccPGMM,1,d = 10,25,0.370568982,12.51103119,1.52567898
1,cPGMM,0,d = 10,50,0.185513426,55.36633649,5.926035134
1,cPGMM,1,d = 10,50,0.195793915,55.41711129,5.976809931
1,ccPGMM,0,d = 10,50,0.392268843,26.52107429,3.027669601
1,ccPGMM,1,d = 10,50,0.374991056,26.54819607,3.054791383
1,cPGMM,0,d = 10,100,0.213349179,114.9450569,11.64332103
1,cPGMM,1,d = 10,100,0.286478107,115.0114759,11.70973998
1,ccPGMM,0,d = 10,100,0.370615134,50.3585299,5.598569115
1,ccPGMM,1,d = 10,100,0.35071305,50.42433008,5.664369297
1,cPGMM,0,d = 20,10,0.273050607,14.67346104,2.31809094
1,cPGMM,1,d = 20,10,0.233665421,14.67374771,2.318377602
1,ccPGMM,0,d = 20,10,0.811949637,3.041110102,0.605045748
1,ccPGMM,1,d = 20,10,0.733341597,3.051018683,0.614954329
1,cPGMM,0,d = 20,25,0.509992101,42.5490386,4.875503135
1,cPGMM,1,d = 20,25,0.367343794,42.56161528,4.888079818
1,ccPGMM,0,d = 20,25,0.880029126,18.21185783,2.551338398
1,ccPGMM,1,d = 20,25,0.557259636,18.22883495,2.568315514
1,cPGMM,0,d = 20,50,0.564803417,91.1362419,9.248567418
1,cPGMM,1,d = 20,50,0.532575524,91.18036441,9.292689935
1,ccPGMM,0,d = 20,50,0.882395183,30.80718591,4.223862151
1,ccPGMM,1,d = 20,50,0.571966269,30.82520763,4.24188387
1,cPGMM,0,d = 20,100,0.590483255,161.6621148,15.92567124
1,cPGMM,1,d = 20,100,0.557978555,161.7234894,15.98704584
1,ccPGMM,0,d = 20,100,0.891196448,73.09953298,8.132311813
1,ccPGMM,1,d = 20,100,0.585353405,73.15783952,8.190618352
1,PGMM,0,PGMM,PGMM,0.57792155,3.279891884,3.279891884
1,GMM,0,GMM,GMM,-0.010474083,0.67140555,0.67140555
1,DBSCAN,0,DBSCAN,DBSCAN,0.392421577,0.073762584,0.073762584
1,PGMM,1,PGMM,PGMM,0.57792155,3.279891884,3.279891884
1,GMM,1,GMM,GMM,-0.010474083,0.67140555,0.67140555
1,DBSCAN,1,DBSCAN,DBSCAN,0.392421577,0.073762584,0.073762584
2,cPGMM,0,d = 10,10,0.146641056,11.0220501,1.506269018
2,cPGMM,1,d = 10,10,0.151606196,11.00674375,1.490962664
2,ccPGMM,0,d = 10,10,0.306787825,3.116457931,0.560410118
2,ccPGMM,1,d = 10,10,0.250559515,3.119908845,0.563861032
2,cPGMM,0,d = 10,25,0.218045922,30.64370893,3.240816657
2,cPGMM,1,d = 10,25,0.156524077,30.66397449,3.26108222
2,ccPGMM,0,d = 10,25,0.367167136,8.023197579,1.129021247
2,ccPGMM,1,d = 10,25,0.312171549,8.045478829,1.151302497
2,cPGMM,0,d = 10,50,0.236200176,62.57871574,6.412149596
2,cPGMM,1,d = 10,50,0.257857051,62.6070924,6.440526263
2,ccPGMM,0,d = 10,50,0.365043796,19.4264013,2.35686125
2,ccPGMM,1,d = 10,50,0.35236016,19.44989215,2.3803521
2,cPGMM,0,d = 10,100,0.271826913,124.3754234,12.43263812
2,cPGMM,1,d = 10,100,0.263695833,124.4221946,12.4794093
2,ccPGMM,0,d = 10,100,0.36795281,37.12947519,4.396214283
2,ccPGMM,1,d = 10,100,0.355870077,37.18784171,4.4545808
2,cPGMM,0,d = 20,10,0.256907203,13.07571259,1.899115149
2,cPGMM,1,d = 20,10,0.26807351,13.08639385,1.909796417
