Data,Model,Entropy,d,M,ARI,Series Time,Parallel Time
1,cPGMM,0,d = 10,10,0.501151618,6.28876696,0.988156549
1,cPGMM,1,d = 10,10,0.484217308,6.278212631,0.97760222
1,ccPGMM,0,d = 10,10,0.500993041,2.929907715,0.596870947
1,ccPGMM,1,d = 10,10,0.734506688,2.933798818,0.600762049
1,cPGMM,0,d = 10,25,0.593128984,18.14910926,2.211620303
1,cPGMM,1,d = 10,25,0.510380021,18.15494046,2.217451505
1,ccPGMM,0,d = 10,25,0.569195813,10.20001645,1.299246681
1,ccPGMM,1,d = 10,25,0.502853995,10.19837926,1.297609484
1,cPGMM,0,d = 10,50,0.535914636,37.25705579,4.121967785
1,cPGMM,1,d = 10,50,0.592897208,37.24857384,4.113485833
1,ccPGMM,0,d = 10,50,0.531774079,21.61581047,2.546644862
1,ccPGMM,1,d = 10,50,0.61337574,21.66485809,2.595692484
1,cPGMM,0,d = 10,100,0.634708946,77.64425501,8.237906067
1,cPGMM,1,d = 10,100,0.588280859,77.69381532,8.287466383
1,ccPGMM,0,d = 10,100,0.548780257,44.54397805,5.014978349
1,ccPGMM,1,d = 10,100,0.574041416,44.63949539,5.110495687
1,cPGMM,0,d = 20,10,0.570648171,8.056470219,1.240231351
1,cPGMM,1,d = 20,10,0.595670648,8.053693084,1.237454216
1,ccPGMM,0,d = 20,10,0.902204046,3.543776298,0.705442484
1,ccPGMM,1,d = 20,10,0.841564556,3.550237727,0.711903914
1,cPGMM,0,d = 20,25,0.69105021,24.7196792,2.930041619
1,cPGMM,1,d = 20,25,0.693846137,24.72106806,2.931430483
1,ccPGMM,0,d = 20,25,0.948100041,8.23002679,1.132184446
1,ccPGMM,1,d = 20,25,0.93136173,8.236058756,1.138216412
1,cPGMM,0,d = 20,50,0.664151069,50.0608877,5.238712215
1,cPGMM,1,d = 20,50,0.566944152,50.10070527,5.278529783
1,ccPGMM,0,d = 20,50,0.87825,20.96118522,2.410363698
1,ccPGMM,1,d = 20,50,0.939720223,20.98990039,2.439078867
1,cPGMM,0,d = 20,100,0.907900931,104.5564536,10.75184077
1,cPGMM,1,d = 20,100,0.655873363,104.6389862,10.83437345
1,ccPGMM,0,d = 20,100,0.944273409,42.97560575,4.845497596
1,ccPGMM,1,d = 20,100,0.943095594,43.03608467,4.905976514
1,PGMM,0,PGMM,PGMM,0.584022618,3.95122207,3.95122207
1,GMM,0,GMM,GMM,-0.010474083,0.592027581,0.592027581
1,DBSCAN,0,DBSCAN,DBSCAN,0.402567998,0.065471999,0.065471999
1,PGMM,1,PGMM,PGMM,0.584022618,3.95122207,3.95122207
1,GMM,1,GMM,GMM,-0.010474083,0.592027581,0.592027581
1,DBSCAN,1,DBSCAN,DBSCAN,0.402567998,0.065471999,0.065471999
2,cPGMM,0,d = 10,10,0.479540486,8.967372048,1.29178855
2,cPGMM,1,d = 10,10,0.334077562,8.960850481,1.285266984
2,ccPGMM,0,d = 10,10,0.510133568,3.854989127,0.609362368
2,ccPGMM,1,d = 10,10,0.464993216,3.854715757,0.609088997
