,0
0,6090
1,6091
2,6092
3,6093
4,6094
5,6095
6,6096
7,6097
8,6098
9,6099
10,6100
11,6101
12,6102
13,6103
14,6104
15,6105
16,6106
17,6107
18,6108
19,6109
20,6140
21,6141
22,6142
23,6143
24,6144
25,6145
26,6146
27,6147
28,6148
29,6149
30,6150
31,6151
32,6152
33,6153
34,6154
35,6155
36,6156
37,6157
38,6158
39,6159
40,6190
41,6191
42,6192
43,6193
44,6194
45,6195
46,6196
47,6197
48,6198
49,6199
50,6200
51,6201
52,6202
53,6203
54,6204
55,6205
56,6206
57,6207
58,6208
59,6209
60,6240
61,6241
62,6242
63,6243
64,6244
65,6245
66,6246
67,6247
68,6248
69,6249
70,6250
71,6251
72,6252
73,6253
74,6254
75,6255
76,6256
77,6257
78,6258
79,6259
80,6290
81,6291
82,6292
83,6293
84,6294
85,6295
86,6296
87,6297
88,6298
89,6299
90,6300
91,6301
92,6302
93,6303
94,6304
95,6305
96,6306
97,6307
98,6308
99,6309
100,6340
101,6341
102,6342
103,6343
104,6344
105,6345
106,6346
107,6347
108,6348
109,6349
110,6350
111,6351
112,6352
113,6353
114,6354
115,6355
116,6356
117,6357
118,6358
119,6359
120,6390
121,6391
122,6392
123,6393
124,6394
125,6395
126,6396
127,6397
128,6398
129,6399
130,6400
131,6401
132,6402
133,6403
134,6404
135,6405
136,6406
137,6407
138,6408
139,6409
140,6440
141,6441
142,6442
143,6443
144,6444
145,6445
146,6446
147,6447
148,6448
149,6449
150,6450
151,6451
152,6452
153,6453
154,6454
155,6455
156,6456
157,6457
158,6458
159,6459
160,6490
161,6491
162,6492
163,6493
164,6494
165,6495
166,6496
167,6497
168,6498
169,6499
170,6500
171,6501
172,6502
173,6503
174,6504
175,6505
176,6506
177,6507
178,6508
179,6509
180,6540
181,6541
182,6542
183,6543
184,6544
185,6545
186,6546
187,6547
188,6548
189,6549
190,6550
191,6551
192,6552
193,6553
194,6554
195,6555
196,6556
197,6557
198,6558
199,6559
200,6590
201,6591
202,6592
203,6593
204,6594
205,6595
206,6596
207,6597
208,6598
209,6599
210,6600
211,6601
212,6602
213,6603
214,6604
215,6605
216,6606
217,6607
218,6608
219,6609
220,6640
221,6641
222,6642
223,6643
224,6644
225,6645
226,6646
227,6647
228,6648
229,6649
230,6650
231,6651
232,6652
233,6653
234,6654
235,6655
236,6656
237,6657
238,6658
239,6659
240,6690
241,6691
242,6692
243,6693
244,6694
245,6695
246,6696
247,6697
248,6698
249,6699
250,6700
251,6701
252,6702
253,6703
254,6704
255,6705
256,6706
257,6707
258,6708
259,6709
260,6740
261,6741
262,6742
263,6743
264,6744
265,6745
266,6746
267,6747
268,6748
269,6749
270,6750
271,6751
272,6752
273,6753
274,6754
275,6755
276,6756
277,6757
278,6758
279,6759
280,6790
281,6791
282,6792
283,6793
284,6794
285,6795
286,6796
287,6797
288,6798
289,6799
290,6800
291,6801
292,6802
293,6803
294,6804
295,6805
296,6806
297,6807
298,6808
299,6809
300,6840
301,6841
302,6842
303,6843
304,6844
305,6845
306,6846
307,6847
308,6848
309,6849
310,6850
311,6851
312,6852
313,6853
314,6854
315,6855
316,6856
317,6857
318,6858
319,6859
320,6890
321,6891
322,6892
323,6893
324,6894
325,6895
326,6896
327,6897
328,6898
329,6899
330,6900
331,6901
332,6902
333,6903
334,6904
335,6905
336,6906
337,6907
338,6908
339,6909
340,6940
341,6941
342,6942
343,6943
344,6944
345,6945
346,6946
347,6947
348,6948
349,6949
350,6950
351,6951
352,6952
353,6953
354,6954
355,6955
356,6956
357,6957
358,6958
359,6959
360,6990
361,6991
362,6992
363,6993
364,6994
365,6995
366,6996
367,6997
368,6998
369,6999
370,7000
371,7001
372,7002
373,7003
374,7004
375,7005
376,7006
377,7007
378,7008
379,7009
380,7040
381,7041
382,7042
383,7043
384,7044
385,7045
386,7046
387,7047
388,7048
389,7049
390,7050
391,7051
392,7052
393,7053
394,7054
395,7055
396,7056
397,7057
398,7058
399,7059
