Data,Model,Entropy,M,d,ARI,Series Time,Parallel Time
1,cPGMM,0,10,d = 10,0.738058061,528.3991028,79.54790087
1,cPGMM,1,10,d = 10,0.775713472,528.6054409,79.75423893
1,ccPGMM (43.5%),0,10,d = 10,0.811285972,422.9751793,50.70013597
1,ccPGMM (43.5%),1,10,d = 10,0.799321857,423.0872786,50.81223532
1,cPGMM,0,25,d = 10,0.779639611,1306.344351,146.5461559
1,cPGMM,1,25,d = 10,0.801375381,1306.848361,147.0501667
1,ccPGMM (43.5%),0,25,d = 10,0.834313698,1074.390801,118.6545017
1,ccPGMM (43.5%),1,25,d = 10,0.852296731,1074.840506,119.1042065
1,cPGMM,0,50,d = 10,0.821865171,2690.481311,271.0002745
1,cPGMM,1,50,d = 10,0.82606238,2691.075985,271.5949489
1,ccPGMM (43.5%),0,50,d = 10,0.797564266,2101.717293,215.3647956
1,ccPGMM (43.5%),1,50,d = 10,0.81159078,2102.665567,216.3130696
1,cPGMM,0,100,d = 10,0.815670138,5472.056372,543.7216035
1,cPGMM,1,100,d = 10,0.814508332,5473.875467,545.5406982
1,ccPGMM (43.5%),0,100,d = 10,0.856604686,4571.619052,452.0302577
1,ccPGMM (43.5%),1,100,d = 10,0.84557613,4573.187824,453.5990297
1,cPGMM,0,10,d = 20,0.875667784,1090.059066,120.7718817
1,cPGMM,1,10,d = 20,0.871558863,1090.237515,120.9503312
1,ccPGMM (43.5%),0,10,d = 20,0.921706083,1050.725356,115.1874394
1,ccPGMM (43.5%),1,10,d = 20,0.908879413,1050.982804,115.4448872
1,cPGMM,0,25,d = 20,0.829998647,2733.852892,282.9482122
1,cPGMM,1,25,d = 20,0.892354891,2735.429593,284.5249131
1,ccPGMM (43.5%),0,25,d = 20,0.935823271,2638.048617,274.0789497
1,ccPGMM (43.5%),1,25,d = 20,0.890397333,2637.303996,273.334329
1,cPGMM,0,50,d = 20,0.882373295,5721.424987,559.1055531
1,cPGMM,1,50,d = 20,0.886173029,5720.819959,558.5005257
1,ccPGMM (43.5%),0,50,d = 20,0.934454852,5532.631075,545.6977266
1,ccPGMM (43.5%),1,50,d = 20,0.902037191,5533.719659,546.7863101
1,cPGMM,0,100,d = 20,0.846792079,11567.83046,1100.84365
1,cPGMM,1,100,d = 20,0.849843803,11570.47697,1103.490159
1,ccPGMM (43.5%),0,100,d = 20,0.8878308,11322.83446,1072.124846
1,ccPGMM (43.5%),1,100,d = 20,0.942928576,11324.43749,1073.727871
2,cPGMM,0,10,d = 10,0.703655318,502.3698174,63.61719899
2,cPGMM,1,10,d = 10,0.720640632,502.7992237,64.04660537
2,ccPGMM (43.5%),0,10,d = 10,0.813981519,447.3603587,53.53284977
2,ccPGMM (43.5%),1,10,d = 10,0.807168409,447.6545303,53.82702138
2,cPGMM,0,25,d = 10,0.761923959,1443.443191,152.1830253
2,cPGMM,1,25,d = 10,0.770035708,1443.09372,151.8335547
2,ccPGMM (43.5%),0,25,d = 10,0.839401495,1102.532421,121.7861156
2,ccPGMM (43.5%),1,25,d = 10,0.839549533,1103.069014,122.3227086
2,cPGMM,0,50,d = 10,0.801516875,2775.406625,277.8996711
2,cPGMM,1,50,d = 10,0.83534714,2776.388639,278.8816848
2,ccPGMM (43.5%),0,50,d = 10,0.630207782,2320.425239,240.6422538
2,ccPGMM (43.5%),1,50,d = 10,0.851250613,2320.826837,241.0438517
2,cPGMM,0,100,d = 10,0.801060621,5662.843955,555.3243621
2,cPGMM,1,100,d = 10,0.825681895,5663.466036,555.946443
2,ccPGMM (43.5%),0,100,d = 10,0.833436101,4794.509273,474.1137687
2,ccPGMM (43.5%),1,100,d = 10,0.83259318,4798.57377,478.178266
2,cPGMM,0,10,d = 20,0.85082675,1160.530821,133.6989108
2,cPGMM,1,10,d = 20,0.794367597,1160.797633,133.9657227
2,ccPGMM (43.5%),0,10,d = 20,0.912922373,1085.201804,118.8858654
2,ccPGMM (43.5%),1,10,d = 20,0.923200323,1085.541211,119.2252721
2,cPGMM,0,25,d = 20,0.846587214,2807.467208,286.3304673
2,cPGMM,1,25,d = 20,0.898160993,2807.027442,285.8907017
2,ccPGMM (43.5%),0,25,d = 20,0.900467919,2675.749381,277.7805308
2,ccPGMM (43.5%),1,25,d = 20,0.940376575,2676.388224,278.4193737
2,cPGMM,0,50,d = 20,0.840227312,5823.24198,566.2960452
2,cPGMM,1,50,d = 20,0.835030921,5824.420329,567.4743944
2,ccPGMM (43.5%),0,50,d = 20,0.901731489,5503.260396,541.4999915
2,ccPGMM (43.5%),1,50,d = 20,0.902173692,5503.664449,541.9040446
2,cPGMM,0,100,d = 20,0.859069488,12581.60216,1200.134488
2,cPGMM,1,100,d = 20,0.85849739,12583.13564,1201.667967
2,ccPGMM (43.5%),0,100,d = 20,0.89922679,11790.13627,1120.422263
2,ccPGMM (43.5%),1,100,d = 20,0.915492197,11791.26662,1121.552608
3,cPGMM,0,10,d = 10,0.784820771,503.7075071,61.43294165
3,cPGMM,1,10,d = 10,0.780815969,504.0845287,61.80996324
3,ccPGMM (43.5%),0,10,d = 10,0.852574856,408.7854378,49.15634132
3,ccPGMM (43.5%),1,10,d = 10,0.825595259,409.2209068,49.59181041
3,cPGMM,0,25,d = 10,0.808377953,1482.54386,159.0898628
3,cPGMM,1,25,d = 10,0.748062902,1482.191323,158.7373265
3,ccPGMM (43.5%),0,25,d = 10,0.817035936,1080.610408,118.296096
3,ccPGMM (43.5%),1,25,d = 10,0.824030275,1080.634701,118.3203892
3,cPGMM,0,50,d = 10,0.821529899,2613.258392,263.3212003
3,cPGMM,1,50,d = 10,0.7293102,2614.919001,264.9818085
3,ccPGMM (43.5%),0,50,d = 10,0.854757341,2120.888761,220.6224481
3,ccPGMM (43.5%),1,50,d = 10,0.854669787,2121.455114,221.1888008
3,cPGMM,0,100,d = 10,0.817525975,5391.686639,535.8867059
3,cPGMM,1,100,d = 10,0.830262019,5393.542482,537.7425494
3,ccPGMM (43.5%),0,100,d = 10,0.835749903,4381.249017,431.1303519
3,ccPGMM (43.5%),1,100,d = 10,0.829324174,4383.134662,433.0159973
3,cPGMM,0,10,d = 20,0.777311062,954.4225906,112.0162616
3,cPGMM,1,10,d = 20,0.814448756,954.5128069,112.106478
3,ccPGMM (43.5%),0,10,d = 20,0.885832677,985.5063767,109.088124
3,ccPGMM (43.5%),1,10,d = 20,0.936177161,985.8022037,109.3839511
3,cPGMM,0,25,d = 20,0.855032149,2729.559779,280.5304059
3,cPGMM,1,25,d = 20,0.884747261,2730.025712,280.9963391
3,ccPGMM (43.5%),0,25,d = 20,0.886344584,2597.711038,267.3974292
3,ccPGMM (43.5%),1,25,d = 20,0.945765425,2598.422185,268.108576
3,cPGMM,0,50,d = 20,0.841997832,5601.729337,557.4148579
3,cPGMM,1,50,d = 20,0.850309022,5602.946287,558.631808
3,ccPGMM (43.5%),0,50,d = 20,0.946441336,5331.780654,526.1057126
3,ccPGMM (43.5%),1,50,d = 20,0.959685496,5331.665466,525.9905245
3,cPGMM,0,100,d = 20,0.866553276,11269.94579,1072.806816
3,cPGMM,1,100,d = 20,0.867977169,11270.94034,1073.801366
3,ccPGMM (43.5%),0,100,d = 20,0.891868849,11211.18774,1067.520286
3,ccPGMM (43.5%),1,100,d = 20,0.950372402,11212.7782,1069.11074
4,cPGMM,0,10,d = 10,0.768602368,443.3757253,54.30375766
4,cPGMM,1,10,d = 10,0.762921389,443.8032621,54.73129443
4,ccPGMM (43.5%),0,10,d = 10,0.614266473,385.626255,47.71634318
4,ccPGMM (43.5%),1,10,d = 10,0.836671423,385.8313452,47.92143338
4,cPGMM,0,25,d = 10,0.762749435,1326.734622,138.2898319
4,cPGMM,1,25,d = 10,0.78295249,1327.158096,138.7133057
4,ccPGMM (43.5%),0,25,d = 10,0.857009229,1071.454249,117.0487738
4,ccPGMM (43.5%),1,25,d = 10,0.845631044,1071.619361,117.2138857
4,cPGMM,0,50,d = 10,0.794199646,2662.273868,268.2228548
4,cPGMM,1,50,d = 10,0.735489791,2663.445733,269.3947207
4,ccPGMM (43.5%),0,50,d = 10,0.813062377,2142.50692,221.6133194
4,ccPGMM (43.5%),1,50,d = 10,0.844946228,2141.502566,220.6089655
4,cPGMM,0,100,d = 10,0.793370059,5623.643332,549.3192478
4,cPGMM,1,100,d = 10,0.81681659,5626.915272,552.5911869
4,ccPGMM (43.5%),0,100,d = 10,0.841162899,4316.434591,428.57365
4,ccPGMM (43.5%),1,100,d = 10,0.821357536,4320.405207,432.5442659
4,cPGMM,0,10,d = 20,0.865309986,1074.542958,118.7730307
4,cPGMM,1,10,d = 20,0.86806099,1074.904637,119.1347099
4,ccPGMM (43.5%),0,10,d = 20,0.942921155,999.2679943,110.0435237
4,ccPGMM (43.5%),1,10,d = 20,0.911006187,999.5239008,110.2994302
4,cPGMM,0,25,d = 20,0.879658266,2754.468241,281.200594
4,cPGMM,1,25,d = 20,0.823101267,2753.941276,280.6736291
4,ccPGMM (43.5%),0,25,d = 20,0.948410747,2645.994486,275.1972952
4,ccPGMM (43.5%),1,25,d = 20,0.918506773,2646.567628,275.7704369
4,cPGMM,0,50,d = 20,0.885075603,5981.724023,588.9350622
4,cPGMM,1,50,d = 20,0.889761767,5981.759671,588.9707106
4,ccPGMM (43.5%),0,50,d = 20,0.939159364,5428.052879,537.5182551
4,ccPGMM (43.5%),1,50,d = 20,0.948562782,5428.959104,538.4244804
4,cPGMM,0,100,d = 20,0.80296224,11980.0442,1136.60749
4,cPGMM,1,100,d = 20,0.846698327,11982.1426,1138.705895
4,ccPGMM (43.5%),0,100,d = 20,0.917115864,11158.37721,1053.73854
4,ccPGMM (43.5%),1,100,d = 20,0.913288776,11161.20113,1056.562457
5,cPGMM,0,10,d = 10,0.725940289,589.1954587,72.10397276
5,cPGMM,1,10,d = 10,0.807834523,589.4098631,72.31837719
5,ccPGMM (43.5%),0,10,d = 10,0.84115687,503.965224,59.32599406
5,ccPGMM (43.5%),1,10,d = 10,0.861856341,503.5573058,58.91807588
5,cPGMM,0,25,d = 10,0.809080192,1511.327625,168.9806539
