Data,Model,Entropy,d,M,ARI,Series Time,Parallel Time
1,cPGMM,0,d = 10,10,1,2.329765209,0.98897415
1,cPGMM,1,d = 10,10,1,2.309654093,0.968863034
1,ccPGMM,0,d = 10,10,1,2.050193524,0.767768681
1,ccPGMM,1,d = 10,10,1,2.051083565,0.768658721
1,cPGMM,0,d = 10,25,1,4.239957631,1.224772851
1,cPGMM,1,d = 10,25,1,4.225835343,1.210650563
1,ccPGMM,0,d = 10,25,1,4.12720956,1.041118149
1,ccPGMM,1,d = 10,25,1,4.115242497,1.029151086
1,cPGMM,0,d = 10,50,1,8.627217555,1.821829867
1,cPGMM,1,d = 10,50,1,8.673679841,1.868292153
1,ccPGMM,0,d = 10,50,1,8.865475221,1.677747234
1,ccPGMM,1,d = 10,50,1,8.902275419,1.714547431
1,cPGMM,0,d = 10,100,1,16.76734258,2.963858898
1,cPGMM,1,d = 10,100,1,16.88008835,3.076604668
1,ccPGMM,0,d = 10,100,1,17.33326199,2.83534627
1,ccPGMM,1,d = 10,100,1,17.42863561,2.930719884
1,cPGMM,0,d = 20,10,1,2.48423177,0.651945114
1,cPGMM,1,d = 20,10,1,2.371244256,0.5389576
1,ccPGMM,0,d = 20,10,1,2.425764032,0.57034692
1,ccPGMM,1,d = 20,10,1,2.363400626,0.507983514
1,cPGMM,0,d = 20,25,1,7.137736193,1.180592529
1,cPGMM,1,d = 20,25,1,6.98001763,1.022873966
1,ccPGMM,0,d = 20,25,1,7.424710504,1.264850303
1,ccPGMM,1,d = 20,25,1,7.2059623,1.046102099
1,cPGMM,0,d = 20,50,1,15.59755971,2.162574033
1,cPGMM,1,d = 20,50,1,15.51512869,2.080143015
1,ccPGMM,0,d = 20,50,1,15.91741107,2.165984503
1,ccPGMM,1,d = 20,50,1,15.83591368,2.084487116
1,cPGMM,0,d = 20,100,1,29.10693152,3.99362336
1,cPGMM,1,d = 20,100,1,29.11010916,3.996800999
1,ccPGMM,0,d = 20,100,1,29.66426404,3.974707552
1,ccPGMM,1,d = 20,100,1,29.71019181,4.020635315
1,PGMM,0,PGMM,PGMM,1,11.60205128,11.60205128
1,GMM,0,GMM,GMM,0.966571786,12.32541794,12.32541794
1,DBSCAN,0,DBSCAN,DBSCAN,0.992036672,0.043702916,0.043702916
1,PGMM,1,PGMM,PGMM,1,11.60205128,11.60205128
1,GMM,1,GMM,GMM,0.966571786,12.32541794,12.32541794
1,DBSCAN,1,DBSCAN,DBSCAN,0.992036672,0.043702916,0.043702916
2,cPGMM,0,d = 10,10,1,2.450491639,1.045918119
2,cPGMM,1,d = 10,10,1,2.418266237,1.013692717
2,ccPGMM,0,d = 10,10,1,2.195978745,0.776370112
2,ccPGMM,1,d = 10,10,1,2.1824417,0.762833067
2,cPGMM,0,d = 10,25,1,5.174910565,1.360233653
2,cPGMM,1,d = 10,25,1,5.176151296,1.361474383
2,ccPGMM,0,d = 10,25,1,5.083124097,1.15430758
2,ccPGMM,1,d = 10,25,1,5.089369047,1.160552529
2,cPGMM,0,d = 10,50,1,10.26462118,2.040350835
2,cPGMM,1,d = 10,50,1,10.29911202,2.07484167
2,ccPGMM,0,d = 10,50,1,10.70353016,1.909253073
2,ccPGMM,1,d = 10,50,1,10.71390602,1.919628934
2,cPGMM,0,d = 10,100,1,21.15250431,3.411149863
2,cPGMM,1,d = 10,100,1,21.22237014,3.481015702
2,ccPGMM,0,d = 10,100,1,21.88374189,3.288429399
2,ccPGMM,1,d = 10,100,1,21.94997157,3.354659084
2,cPGMM,0,d = 20,10,1,2.396458232,0.689758766
2,cPGMM,1,d = 20,10,1,2.177891747,0.47119228
2,ccPGMM,0,d = 20,10,1,2.318724096,0.564344299
2,ccPGMM,1,d = 20,10,1,2.198486781,0.444106984
2,cPGMM,0,d = 20,25,1,7.375101101,1.279934251
2,cPGMM,1,d = 20,25,1,7.217948186,1.122781336
2,ccPGMM,0,d = 20,25,1,7.412299975,1.228871532
2,ccPGMM,1,d = 20,25,1,7.274175199,1.090746756
2,cPGMM,0,d = 20,50,1,15.51442515,2.277175248
2,cPGMM,1,d = 20,50,1,15.3863741,2.149124197
2,ccPGMM,0,d = 20,50,1,15.90093897,2.245743334
2,ccPGMM,1,d = 20,50,1,15.7449303,2.08973467
2,cPGMM,0,d = 20,100,1,28.16891415,3.892388749
2,cPGMM,1,d = 20,100,1,28.0747601,3.798234697
2,ccPGMM,0,d = 20,100,1,28.86133643,3.924112884
2,ccPGMM,1,d = 20,100,1,28.68546741,3.748243868
2,PGMM,0,PGMM,PGMM,1,16.71764611,16.71764611
2,GMM,0,GMM,GMM,0.863892529,46.13609722,46.13609722
2,DBSCAN,0,DBSCAN,DBSCAN,0.98513712,0.033810031,0.033810031
2,PGMM,1,PGMM,PGMM,1,16.71764611,16.71764611
