,0
0,958
1,959
2,960
3,961
4,962
5,963
6,964
7,965
8,966
9,967
10,968
11,969
12,970
13,971
14,972
15,973
16,974
17,975
18,976
19,977
20,978
21,979
22,980
23,981
24,982
25,983
26,984
27,985
28,986
29,987
30,1025
31,1026
32,1027
33,1028
34,1029
35,1030
36,1031
37,1032
38,1033
39,1034
40,1035
41,1036
42,1037
43,1038
44,1039
45,1040
46,1041
47,1042
48,1043
49,1044
50,1045
51,1046
52,1047
53,1048
54,1049
55,1050
56,1051
57,1052
58,1053
59,1054
60,1092
61,1093
62,1094
63,1095
64,1096
65,1097
66,1098
67,1099
68,1100
69,1101
70,1102
71,1103
72,1104
73,1105
74,1106
75,1107
76,1108
77,1109
78,1110
79,1111
80,1112
81,1113
82,1114
83,1115
84,1116
85,1117
86,1118
87,1119
88,1120
89,1121
90,1159
91,1160
92,1161
93,1162
94,1163
95,1164
96,1165
97,1166
98,1167
99,1168
100,1169
101,1170
102,1171
103,1172
104,1173
105,1174
106,1175
107,1176
108,1177
109,1178
110,1179
111,1180
112,1181
113,1182
114,1183
115,1184
116,1185
117,1186
118,1187
119,1188
120,1226
121,1227
122,1228
123,1229
124,1230
125,1231
126,1232
127,1233
128,1234
129,1235
130,1236
131,1237
132,1238
133,1239
134,1240
135,1241
136,1242
137,1243
138,1244
139,1245
140,1246
141,1247
142,1248
143,1249
144,1250
145,1251
146,1252
147,1253
148,1254
149,1255
150,1293
151,1294
152,1295
153,1296
154,1297
155,1298
156,1299
157,1300
158,1301
159,1302
160,1303
161,1304
162,1305
163,1306
164,1307
165,1308
166,1309
167,1310
168,1311
169,1312
170,1313
171,1314
172,1315
173,1316
174,1317
175,1318
176,1319
177,1320
178,1321
179,1322
180,1360
181,1361
182,1362
183,1363
184,1364
185,1365
186,1366
187,1367
188,1368
189,1369
190,1370
191,1371
192,1372
193,1373
194,1374
195,1375
196,1376
197,1377
198,1378
199,1379
200,1380
201,1381
202,1382
203,1383
204,1384
205,1385
206,1386
207,1387
208,1388
209,1389
210,1427
211,1428
212,1429
213,1430
214,1431
215,1432
216,1433
217,1434
218,1435
219,1436
220,1437
221,1438
222,1439
223,1440
224,1441
225,1442
226,1443
227,1444
228,1445
229,1446
230,1447
231,1448
232,1449
233,1450
234,1451
235,1452
236,1453
237,1454
238,1455
239,1456
240,1494
241,1495
242,1496
243,1497
244,1498
245,1499
246,1500
247,1501
248,1502
249,1503
250,1504
251,1505
252,1506
253,1507
254,1508
255,1509
256,1510
257,1511
258,1512
259,1513
260,1514
261,1515
262,1516
263,1517
264,1518
265,1519
266,1520
267,1521
268,1522
269,1523
270,1561
271,1562
272,1563
273,1564
274,1565
275,1566
276,1567
277,1568
278,1569
279,1570
280,1571
281,1572
282,1573
283,1574
284,1575
285,1576
286,1577
287,1578
288,1579
289,1580
290,1581
291,1582
292,1583
293,1584
294,1585
295,1586
296,1587
297,1588
298,1589
299,1590
300,1628
301,1629
302,1630
303,1631
304,1632
305,1633
306,1634
307,1635
308,1636
309,1637
310,1638
311,1639
312,1640
313,1641
314,1642
315,1643
316,1644
317,1645
318,1646
319,1647
320,1648
321,1649
322,1650
323,1651
324,1652
325,1653
326,1654
327,1655
328,1656
329,1657
330,1695
331,1696
332,1697
333,1698
334,1699
335,1700
336,1701
337,1702
338,1703
339,1704
340,1705
341,1706
342,1707
343,1708
344,1709
345,1710
346,1711
347,1712
348,1713
349,1714
350,1715
351,1716
352,1717
353,1718
354,1719
355,1720
356,1721
357,1722
358,1723
359,1724
360,1762
361,1763
362,1764
363,1765
364,1766
365,1767
366,1768
367,1769
368,1770
369,1771
370,1772
371,1773
372,1774
373,1775
374,1776
375,1777
376,1778
377,1779
378,1780
379,1781
380,1782
381,1783
382,1784
383,1785
384,1786
385,1787
386,1788
387,1789
388,1790
389,1791
390,1829
391,1830
392,1831
393,1832
394,1833
395,1834
396,1835
397,1836
398,1837
399,1838
400,1839
401,1840
402,1841
403,1842
404,1843
405,1844
406,1845
407,1846
408,1847
409,1848
410,1849
411,1850
412,1851
413,1852
414,1853
415,1854
416,1855
417,1856
418,1857
419,1858
420,1896
421,1897
422,1898
423,1899
424,1900
425,1901
426,1902
427,1903
428,1904
429,1905
430,1906
431,1907
432,1908
433,1909
434,1910
435,1911
436,1912
437,1913
438,1914
439,1915
440,1916
441,1917
442,1918
443,1919
444,1920
445,1921
446,1922
447,1923
448,1924
449,1925
450,1963
451,1964
452,1965
453,1966
454,1967
455,1968
456,1969
457,1970
458,1971
459,1972
460,1973
461,1974
462,1975
463,1976
464,1977
465,1978
466,1979
467,1980
468,1981
469,1982
470,1983
471,1984
472,1985
473,1986
474,1987
475,1988
476,1989
477,1990
478,1991
479,1992
480,2030
481,2031
482,2032
483,2033
484,2034
485,2035
486,2036
487,2037
488,2038
489,2039
490,2040
491,2041
492,2042
493,2043
494,2044
495,2045
496,2046
497,2047
498,2048
499,2049
500,2050
501,2051
502,2052
503,2053
504,2054
505,2055
506,2056
507,2057
508,2058
509,2059
510,2097
511,2098
512,2099
513,2100
514,2101
515,2102
516,2103
517,2104
518,2105
519,2106
520,2107
521,2108
522,2109
523,2110
524,2111
525,2112
526,2113
527,2114
528,2115
529,2116
530,2117
531,2118
532,2119
533,2120
534,2121
535,2122
536,2123
537,2124
538,2125
539,2126
540,2164
541,2165
542,2166
543,2167
544,2168
545,2169
546,2170
547,2171
548,2172
549,2173
550,2174
551,2175
552,2176
553,2177
554,2178
555,2179
556,2180
557,2181
558,2182
559,2183
560,2184
561,2185
562,2186
563,2187
564,2188
565,2189
566,2190
567,2191
568,2192
569,2193
570,2231
571,2232
572,2233
573,2234
574,2235
575,2236
576,2237
577,2238
578,2239
579,2240
580,2241
581,2242
582,2243
583,2244
584,2245
585,2246
586,2247
587,2248
588,2249
589,2250
590,2251
591,2252
592,2253
593,2254
594,2255
595,2256
596,2257
597,2258
598,2259
599,2260
600,2298
601,2299
602,2300
603,2301
604,2302
